Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Portland Trail Blazers*,82,19805,3650,7249,.504,98,339,.289,2269,2928,.775,1180,2413,3593,2359,767,387,1546,2082,9667,117.9
2,Los Angeles Lakers*,82,19730,3740,7245,.516,164,447,.367,2012,2550,.789,1127,2515,3642,2428,728,482,1358,1853,9656,117.8
3,Denver Nuggets*,82,19780,3744,7951,.471,106,391,.271,1975,2568,.769,1294,2368,3662,2317,754,421,1216,2184,9569,116.7
4,Dallas Mavericks*,82,19880,3594,7373,.487,231,653,.354,2148,2717,.791,1219,2494,3713,2017,688,424,1205,1873,9567,116.7
5,Seattle SuperSonics*,82,19855,3593,7451,.482,191,571,.335,1948,2571,.758,1373,2395,3768,2184,705,450,1509,2224,9325,113.7
6,Boston Celtics*,82,19805,3645,7051,.517,207,565,.366,1740,2153,.808,933,2585,3518,2421,561,526,1300,1710,9237,112.6
7,Golden State Warriors*,82,19905,3551,7412,.479,116,364,.319,1970,2526,.780,1193,2351,3544,2083,715,321,1354,2138,9188,112.0
8,Detroit Pistons*,82,19830,3544,7237,.490,39,169,.231,1991,2602,.765,1245,2649,3894,2021,643,436,1417,2078,9118,111.2
9,Phoenix Suns,82,19855,3575,7190,.497,61,252,.242,1900,2499,.760,1113,2366,3479,2354,703,397,1498,2047,9111,111.1
10,Sacramento Kings,82,19780,3522,7413,.475,77,307,.251,1974,2479,.796,1282,2441,3723,2185,513,397,1403,2007,9095,110.9
11,Milwaukee Bucks*,82,19780,3457,7282,.475,185,572,.323,1953,2549,.766,1119,2322,3441,2044,845,393,1260,2180,9052,110.4
12,Atlanta Hawks*,82,19730,3435,7141,.481,135,425,.318,2019,2661,.759,1350,2478,3828,2077,700,511,1279,2152,9024,110.0
13,New Jersey Nets,82,19855,3374,7083,.476,145,449,.323,2000,2607,.767,1169,2409,3578,1991,643,397,1617,2353,8893,108.5
14,San Antonio Spurs,82,19805,3532,7456,.474,117,403,.290,1701,2292,.742,1285,2347,3632,2220,786,325,1406,1930,8882,108.3
15,Utah Jazz*,82,19755,3485,7514,.464,139,448,.310,1735,2389,.726,1194,2456,3650,2240,835,628,1403,2040,8844,107.9
16,Houston Rockets*,82,19780,3465,7262,.477,89,324,.275,1746,2355,.741,1190,2481,3671,2227,654,555,1384,1973,8765,106.9
17,Philadelphia 76ers*,82,19880,3335,6792,.491,88,340,.259,1971,2617,.753,1178,2327,3505,1943,768,540,1519,1774,8729,106.5
18,Indiana Pacers*,82,19930,3454,7324,.472,94,316,.297,1696,2170,.782,1132,2464,3596,2170,697,311,1276,2097,8698,106.1
19,Washington Bullets*,82,19705,3356,7397,.454,43,218,.197,1935,2531,.765,1305,2315,3620,1750,755,685,1301,1775,8690,106.0
20,Chicago Bulls*,82,19830,3382,7155,.473,78,299,.261,1754,2254,.778,1248,2400,3648,2143,677,438,1257,1922,8596,104.8
21,Los Angeles Clippers,82,19780,3311,7332,.452,78,348,.224,1866,2515,.742,1231,2137,3368,1971,751,432,1493,2004,8566,104.5
22,Cleveland Cavaliers,82,19755,3349,7122,.470,81,338,.240,1779,2554,.697,1257,2420,3677,1912,672,559,1619,1853,8558,104.4
23,New York Knicks,82,19780,3329,7023,.474,125,375,.333,1725,2362,.730,1108,2162,3270,1941,704,396,1420,2028,8508,103.8
