Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Denver Nuggets,82,19955,3784,7960,.475,30,145,.207,2388,3051,.783,1325,2497,3822,2030,720,380,1444,2108,9986,121.8
2,Milwaukee Bucks*,82,19755,3722,7472,.498,30,131,.229,1802,2340,.770,1261,2408,3669,2319,862,530,1581,2198,9276,113.1
3,San Antonio Spurs*,82,19805,3571,7276,.491,15,85,.176,2052,2668,.769,1304,2582,3886,2048,685,643,1533,2114,9209,112.3
4,Philadelphia 76ers*,82,19855,3636,7073,.514,19,84,.226,1865,2427,.768,1091,2618,3709,2369,857,591,1702,2061,9156,111.7
5,Los Angeles Lakers*,82,19805,3780,7382,.512,17,94,.181,1540,2113,.729,1165,2491,3656,2363,808,551,1557,1955,9117,111.2
6,Portland Trail Blazers*,82,19855,3741,7535,.496,25,148,.169,1573,2191,.718,1243,2388,3631,2244,769,480,1518,2034,9080,110.7
7,Phoenix Suns*,82,19755,3587,7326,.490,35,161,.217,1810,2430,.745,1234,2490,3724,2205,876,416,1733,1996,9019,110.0
8,Boston Celtics*,82,19780,3581,7099,.504,65,241,.270,1781,2369,.752,1155,2424,3579,2202,683,594,1577,1990,9008,109.9
9,Golden State Warriors,82,19730,3560,7284,.489,60,210,.286,1826,2513,.727,1403,2366,3769,2026,611,301,1547,2158,9006,109.8
10,Chicago Bulls*,82,19780,3457,6903,.501,38,179,.212,1985,2563,.774,1227,2475,3702,1925,729,514,1672,2058,8937,109.0
11,Houston Rockets*,82,19805,3573,7335,.487,21,118,.178,1711,2223,.770,1216,2347,3563,2099,705,390,1451,1901,8878,108.3
12,New York Knicks*,82,19830,3505,7255,.483,56,236,.237,1783,2386,.747,1137,2205,3342,1976,861,314,1461,1917,8849,107.9
13,Indiana Pacers*,82,19730,3491,7245,.482,30,169,.178,1815,2540,.715,1325,2267,3592,2091,833,484,1491,2006,8827,107.6
14,Kansas City Kings*,82,19830,3572,7151,.500,49,168,.292,1576,2206,.714,1037,2450,3487,2271,719,385,1448,2092,8769,106.9
15,New Jersey Nets,82,19805,3477,7314,.475,34,138,.246,1780,2371,.751,1092,2374,3466,2068,750,458,1664,2204,8768,106.9
16,San Diego Clippers,82,19730,3477,7283,.477,132,407,.324,1651,2246,.735,1169,2144,3313,2098,764,292,1407,2078,8737,106.5
17,Cleveland Cavaliers,82,19780,3556,7609,.467,72,249,.289,1486,1909,.778,1258,2243,3501,2007,632,322,1396,1995,8670,105.7
18,Washington Bullets,82,19780,3549,7517,.472,65,241,.270,1499,2072,.723,1155,2533,3688,2151,641,392,1422,1895,8662,105.6
19,Atlanta Hawks,82,19930,3291,6866,.479,10,82,.122,2012,2590,.777,1201,2224,3425,1846,749,469,1605,2276,8604,104.9
20,Seattle SuperSonics,82,19780,3343,7145,.468,32,117,.274,1813,2376,.763,1167,2434,3601,1945,628,438,1524,1986,8531,104.0
21,Dallas Mavericks,82,19780,3204,6928,.462,46,165,.279,1868,2487,.751,1109,2177,3286,1984,561,214,1439,2008,8322,101.5
22,Utah Jazz,82,19730,3332,6825,.488,42,163,.258,1595,2080,.767,962,2325,3287,1948,637,386,1423,2110,8301,101.2
23,Detroit Pistons,82,19755,3236,6986,.463,13,84,.155,1689,2330,.725,1201,2111,3312,1819,884,492,1759,2125,8174,99.7
