Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Los Angeles Lakers*,82,19830,3834,7343,.522,138,409,.337,1812,2329,.778,1101,2555,3656,2433,693,419,1467,2031,9618,117.3
2,Dallas Mavericks*,82,19805,3631,7254,.501,141,446,.316,2050,2643,.776,1059,2454,3513,2108,605,369,1289,1733,9453,115.3
3,Portland Trail Blazers*,82,19855,3610,7281,.496,74,275,.269,2142,2799,.765,1153,2316,3469,2180,859,356,1529,2205,9436,115.1
4,Denver Nuggets*,82,19755,3705,7868,.471,71,305,.233,1929,2416,.798,1223,2317,3540,2140,826,421,1336,2164,9410,114.8
5,Milwaukee Bucks*,82,19805,3601,7310,.493,125,382,.327,2063,2701,.764,1189,2420,3609,2158,805,460,1369,2210,9390,114.5
6,Houston Rockets*,82,19755,3759,7671,.490,85,310,.274,1776,2434,.730,1316,2434,3750,2318,745,551,1374,1991,9379,114.4
7,Detroit Pistons*,82,19780,3754,7750,.484,55,182,.302,1800,2300,.783,1276,2461,3737,2319,738,340,1343,2101,9363,114.2
8,Boston Celtics*,82,19855,3718,7312,.508,138,393,.351,1785,2248,.794,1054,2753,3807,2387,641,511,1360,1756,9359,114.1
9,Golden State Warriors,82,19780,3650,7567,.482,87,278,.313,1912,2517,.760,1271,2344,3615,2018,751,354,1400,2032,9299,113.4
10,San Antonio Spurs*,82,19805,3596,7104,.506,46,196,.235,1882,2523,.746,1069,2413,3482,2260,800,390,1624,2115,9120,111.2
11,Philadelphia 76ers*,82,19905,3435,7058,.487,51,224,.228,2130,2810,.758,1326,2378,3704,2017,862,490,1595,1798,9051,110.4
12,Phoenix Suns,82,19805,3518,6993,.503,38,183,.208,1949,2683,.726,1034,2449,3483,2272,773,379,1763,2260,9023,110.0
13,Chicago Bulls*,82,19855,3476,7227,.481,88,317,.278,1922,2499,.769,1280,2278,3558,2006,609,400,1436,2166,8962,109.3
14,New Jersey Nets*,82,19805,3548,7301,.486,43,214,.201,1810,2396,.755,1183,2483,3666,2128,749,345,1575,2129,8949,109.1
15,Sacramento Kings*,82,19780,3538,7220,.490,30,134,.224,1818,2338,.778,1135,2377,3512,2304,602,388,1533,2134,8924,108.8
16,Atlanta Hawks*,82,19805,3447,7029,.490,33,166,.199,1979,2704,.732,1249,2405,3654,2025,736,434,1483,2170,8906,108.6
17,Los Angeles Clippers,82,19755,3388,7165,.473,64,229,.279,2067,2683,.770,1159,2258,3417,1968,694,501,1506,1931,8907,108.6
18,Utah Jazz*,82,19780,3453,7083,.488,35,169,.207,1930,2694,.716,1068,2479,3547,2199,717,666,1518,2038,8871,108.2
19,Cleveland Cavaliers,82,19780,3478,7239,.480,132,391,.338,1748,2325,.752,1086,2455,3541,2064,627,436,1411,2267,8836,107.8
20,Seattle SuperSonics,82,19930,3335,7059,.472,79,300,.263,1815,2331,.779,1145,2256,3401,1977,745,295,1435,2168,8564,104.4
21,Indiana Pacers,82,19755,3441,7150,.481,23,143,.161,1614,2183,.739,1138,2613,3751,2159,659,381,1515,2135,8519,103.9
22,Washington Bullets*,82,19855,3311,7148,.463,116,408,.284,1704,2286,.745,1066,2432,3498,1748,626,716,1346,1796,8442,103.0
23,New York Knicks,82,19805,3239,7034,.460,82,239,.343,1534,2237,.686,1081,2170,3251,1877,714,308,1438,2213,8094,98.7
