Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Denver Nuggets*,82,19805,3935,7983,.493,77,255,.302,2200,2690,.818,1133,2444,3577,2482,711,352,1344,2279,10147,123.7
2,San Antonio Spurs,82,19980,3909,7721,.506,79,263,.300,1965,2604,.755,1230,2528,3758,2361,685,491,1447,2146,9862,120.3
3,Detroit Pistons*,82,19905,3798,7910,.480,32,141,.227,1974,2547,.775,1427,2434,3861,2256,697,417,1310,2177,9602,117.1
4,Los Angeles Lakers*,82,19780,3854,7250,.532,58,226,.257,1712,2272,.754,1095,2499,3594,2455,726,478,1578,2054,9478,115.6
5,Utah Jazz*,82,19780,3606,7242,.498,101,317,.319,2115,2708,.781,1096,2522,3618,2230,695,604,1510,1978,9428,115.0
6,Portland Trail Blazers*,82,19805,3632,7189,.505,25,129,.194,1988,2637,.754,1251,2194,3445,2082,814,397,1483,2134,9277,113.1
7,Boston Celtics*,82,19955,3616,7235,.500,55,229,.240,1907,2407,.792,1159,2538,3697,2122,673,430,1420,1949,9194,112.1
8,Phoenix Suns*,82,19780,3677,7220,.509,74,291,.254,1673,2204,.759,1066,2298,3364,2214,693,388,1451,2147,9101,111.0
9,San Diego Clippers,82,19730,3634,7325,.496,24,128,.188,1785,2424,.736,1307,2382,3689,1981,567,385,1515,2020,9077,110.7
10,Houston Rockets,82,19755,3729,7533,.495,30,154,.195,1583,2139,.740,1200,2483,3683,2204,621,515,1562,2317,9071,110.6
11,Dallas Mavericks*,82,19955,3618,7235,.500,42,184,.228,1774,2350,.755,1090,2265,3355,2164,579,360,1303,1906,9052,110.4
12,Kansas City Kings*,82,19755,3516,7230,.486,52,189,.275,1939,2495,.777,1144,2273,3417,2229,715,383,1504,2200,9023,110.0
13,New Jersey Nets*,82,19805,3614,7258,.498,49,232,.211,1742,2488,.700,1221,2313,3534,2148,814,499,1608,2243,9019,110.0
14,Golden State Warriors,82,19830,3519,7534,.467,55,226,.243,1915,2577,.743,1390,2171,3561,1837,830,348,1518,2108,9008,109.9
15,Seattle SuperSonics*,82,19780,3460,7083,.488,27,140,.193,1918,2460,.780,1064,2332,3396,2233,636,350,1360,1884,8865,108.1
16,Philadelphia 76ers*,82,19955,3384,6833,.495,29,107,.271,2041,2706,.754,1181,2382,3563,2032,807,653,1628,2040,8838,107.8
17,New York Knicks*,82,19855,3386,6837,.495,47,165,.285,1944,2510,.775,1088,2230,3318,2041,803,360,1587,2281,8763,106.9
18,Milwaukee Bucks*,82,19905,3432,6970,.492,59,232,.254,1743,2354,.740,1135,2385,3520,2113,642,489,1415,2167,8666,105.7
19,Indiana Pacers,82,19780,3447,7130,.483,48,207,.232,1624,2119,.766,1002,2398,3400,2169,834,398,1525,2061,8566,104.5
20,Chicago Bulls,82,19980,3305,6972,.474,20,117,.171,1871,2508,.746,1141,2300,3441,2095,687,454,1578,2196,8501,103.7
21,Washington Bullets*,82,19905,3344,6907,.484,71,282,.252,1664,2201,.756,1027,2387,3414,2192,556,320,1448,1989,8423,102.7
22,Cleveland Cavaliers,82,19855,3362,7232,.465,43,164,.262,1619,2178,.743,1213,2388,3601,1930,630,375,1332,2206,8386,102.3
23,Atlanta Hawks*,82,19855,3230,6809,.474,23,106,.217,1838,2414,.761,1112,2232,3344,1827,626,558,1329,2091,8321,101.5
