Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Phoenix Suns*,82,19755,3754,7545,.498,168,481,.349,2051,2594,.791,1095,2619,3714,2280,693,416,1279,1933,9727,118.6
2,Denver Nuggets*,82,19880,3813,8140,.468,228,676,.337,1821,2314,.787,1206,2513,3719,2282,811,436,1225,2088,9675,118.0
3,New York Knicks*,82,19805,3701,7611,.486,386,1147,.337,1779,2366,.752,1322,2265,3587,2083,900,446,1572,2053,9567,116.7
4,Golden State Warriors*,82,19905,3730,7977,.468,194,629,.308,1904,2384,.799,1323,2561,3884,2009,831,643,1488,1946,9558,116.6
5,Los Angeles Lakers*,82,19805,3584,7143,.502,227,667,.340,2011,2508,.802,1094,2612,3706,2282,724,421,1344,1672,9406,114.7
6,Portland Trail Blazers*,82,19830,3695,7795,.474,216,645,.335,1789,2416,.740,1384,2381,3765,2212,828,388,1435,2026,9395,114.6
7,Seattle SuperSonics*,82,19780,3564,7478,.477,293,774,.379,1775,2379,.746,1397,2238,3635,2083,864,494,1403,2027,9196,112.1
8,Philadelphia 76ers*,82,19780,3500,7201,.486,204,646,.316,1970,2504,.787,1143,2356,3499,2110,689,354,1214,1721,9174,111.9
9,Atlanta Hawks*,82,19805,3412,7230,.472,110,397,.277,2168,2709,.800,1372,2316,3688,1990,817,474,1310,1880,9102,111.0
10,Boston Celtics*,82,19780,3520,7143,.493,78,309,.252,1840,2349,.783,1179,2442,3621,2189,639,418,1336,1876,8958,109.2
11,Milwaukee Bucks*,82,19755,3399,7167,.474,179,567,.316,1955,2382,.821,1133,2272,3405,2071,821,323,1305,1953,8932,108.9
12,Cleveland Cavaliers*,82,19755,3466,6904,.502,170,474,.359,1821,2438,.747,1033,2475,3508,2260,791,586,1323,1592,8923,108.8
13,Houston Rockets*,82,19855,3412,7196,.474,164,523,.314,1909,2527,.755,1211,2554,3765,2016,789,501,1569,2026,8897,108.5
14,Washington Bullets,82,19855,3519,7591,.464,52,243,.214,1789,2318,.772,1254,2354,3608,2048,694,325,1291,2054,8879,108.3
15,Indiana Pacers,82,19855,3385,6945,.487,202,615,.328,1795,2275,.789,1065,2497,3562,2012,563,418,1547,2105,8767,106.9
16,Detroit Pistons*,82,19830,3395,6879,.494,120,400,.300,1830,2379,.769,1154,2546,3700,2027,522,406,1336,1939,8740,106.6
17,Chicago Bulls*,82,19780,3448,6968,.495,174,530,.328,1656,2106,.786,1018,2453,3471,2213,722,376,1327,1855,8726,106.4
18,Los Angeles Clippers,82,19855,3526,7428,.475,54,234,.231,1606,2220,.723,1156,2384,3540,2208,815,530,1666,1937,8712,106.2
19,San Antonio Spurs,82,19755,3469,7409,.468,63,293,.215,1651,2367,.698,1295,2181,3476,2037,961,423,1712,2153,8652,105.5
20,Sacramento Kings,82,19780,3362,7351,.457,307,824,.373,1620,2104,.770,1141,2454,3595,1970,624,409,1370,1877,8651,105.5
21,Utah Jazz*,82,19730,3182,6595,.482,114,380,.300,2110,2742,.770,1050,2607,3657,2108,720,583,1532,1894,8588,104.7
22,Charlotte Hornets,82,19780,3426,7430,.461,134,430,.312,1580,2060,.767,1138,2200,3338,2323,705,264,1318,2068,8566,104.5
23,New Jersey Nets,82,19805,3333,7226,.461,187,568,.329,1653,2260,.731,1204,2419,3623,1793,773,431,1449,1966,8506,103.7
24,Dallas Mavericks,82,19780,3244,6917,.469,211,681,.310,1785,2263,.789,1048,2397,3445,1867,579,476,1233,1739,8484,103.5
25,Miami Heat,82,19855,3221,7116,.453,97,298,.326,1477,2103,.702,1309,2211,3520,1958,744,408,1728,2124,8016,97.8
