Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Denver Nuggets*,82,19830,3876,7976,.486,73,235,.311,2016,2568,.785,1331,2303,3634,2266,894,424,1382,2152,9841,120.0
2,Los Angeles Lakers*,82,19755,3952,7254,.545,90,295,.305,1702,2232,.763,1063,2550,3613,2575,695,481,1537,1931,9696,118.2
3,Detroit Pistons*,82,19830,3840,7999,.480,45,199,.226,1783,2262,.788,1403,2534,3937,2302,691,397,1341,2076,9508,116.0
4,Portland Trail Blazers*,82,19880,3708,7374,.503,51,202,.252,2002,2667,.751,1202,2298,3500,2225,821,516,1481,1957,9469,115.5
5,Kansas City Kings,82,19755,3664,7275,.504,63,238,.265,2022,2595,.779,1167,2327,3494,2342,661,300,1593,2169,9413,114.8
6,San Antonio Spurs*,82,19780,3698,7202,.513,55,202,.272,1961,2571,.763,1127,2470,3597,2316,757,443,1542,2180,9412,114.8
7,Boston Celtics*,82,19705,3721,7325,.508,110,309,.356,1860,2307,.806,1116,2630,3746,2287,645,414,1332,1781,9412,114.8
8,Philadelphia 76ers*,82,19805,3443,6992,.492,59,224,.263,2316,2883,.803,1301,2364,3665,1999,817,534,1575,1971,9261,112.9
9,Dallas Mavericks*,82,19855,3560,7280,.489,152,443,.343,1844,2324,.793,1095,2345,3440,2152,575,335,1184,1796,9116,111.2
10,Houston Rockets*,82,19830,3748,7440,.504,41,186,.220,1581,2261,.699,1325,2395,3720,2239,683,597,1605,2033,9118,111.2
11,Milwaukee Bucks*,82,19805,3564,7256,.491,89,294,.303,1873,2473,.757,1256,2353,3609,2164,689,486,1382,2239,9090,110.9
12,Golden State Warriors,82,19855,3498,7555,.463,112,397,.282,1944,2531,.768,1327,2139,3466,1759,803,284,1460,2136,9052,110.4
13,New Jersey Nets*,82,19755,3646,7445,.490,52,224,.232,1631,2237,.729,1233,2325,3558,2163,772,415,1355,2011,8975,109.5
14,Utah Jazz*,82,19755,3478,7302,.476,103,307,.336,1878,2434,.772,1081,2554,3635,2143,712,697,1575,1961,8937,109.0
15,Chicago Bulls*,82,19805,3453,6909,.500,29,161,.180,1981,2526,.784,1074,2366,3440,1992,622,468,1463,2071,8916,108.7
16,Cleveland Cavaliers*,82,19780,3470,7364,.471,96,335,.287,1867,2491,.749,1203,2445,3648,2096,622,472,1387,2173,8903,108.6
17,Indiana Pacers,82,19780,3489,7324,.476,30,155,.194,1871,2516,.744,1198,2623,3821,1945,625,366,1622,2237,8879,108.3
18,Phoenix Suns*,82,19805,3507,7144,.491,87,307,.283,1757,2280,.771,1026,2425,3451,2335,727,349,1583,2034,8858,108.0
19,Los Angeles Clippers,82,19730,3527,7119,.495,56,188,.298,1674,2208,.758,1163,2434,3597,1934,534,497,1587,1840,8784,107.1
20,Atlanta Hawks,82,19855,3444,7119,.484,73,235,.311,1782,2371,.752,1161,2345,3506,2009,665,541,1475,2047,8743,106.6
21,Washington Bullets*,82,19855,3534,7383,.479,109,398,.274,1478,1989,.743,1012,2395,3407,2088,709,393,1282,1869,8655,105.5
22,New York Knicks,82,19830,3435,7101,.484,51,198,.258,1706,2350,.726,1116,2102,3218,1999,754,267,1458,2398,8627,105.2
23,Seattle SuperSonics,82,19705,3277,6910,.474,45,185,.243,1777,2305,.771,1019,2287,3306,2185,649,343,1493,1974,8376,102.1
