Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Denver Nuggets*,82,19730,3951,7999,.494,24,126,.190,2179,2696,.808,1214,2524,3738,2336,789,352,1496,2091,10105,123.2
2,Los Angeles Lakers*,82,19730,3964,7512,.528,10,96,.104,1495,2031,.736,1235,2433,3668,2519,844,479,1584,1931,9433,115.0
3,San Antonio Spurs*,82,19780,3697,7340,.504,94,308,.305,1887,2468,.765,1232,2599,3831,2261,675,469,1504,2095,9375,114.3
4,Kansas City Kings,82,19780,3719,7485,.497,51,215,.237,1839,2530,.727,1256,2407,3663,2155,765,409,1691,2432,9328,113.8
5,Dallas Mavericks,82,19730,3674,7550,.487,43,185,.232,1852,2462,.752,1296,2381,3677,2227,552,348,1348,2067,9243,112.7
6,Detroit Pistons,82,19880,3623,7602,.477,72,272,.265,1921,2588,.742,1312,2477,3789,2108,679,572,1557,2122,9239,112.7
7,Boston Celtics*,82,19830,3711,7547,.492,39,186,.210,1730,2348,.737,1273,2532,3805,2216,789,521,1541,2062,9191,112.1
8,Philadelphia 76ers*,82,19830,3600,7212,.499,25,109,.229,1966,2650,.742,1334,2596,3930,2016,812,577,1627,2041,9191,112.1
9,Chicago Bulls,82,19905,3537,7373,.480,45,209,.215,1983,2690,.737,1267,2527,3794,2086,666,400,1743,2192,9102,111.0
10,Seattle SuperSonics*,82,19805,3597,7277,.494,29,138,.210,1796,2459,.730,1152,2569,3721,2278,677,437,1533,1969,9019,110.0
11,Utah Jazz,82,19755,3525,7342,.480,44,183,.240,1844,2440,.756,1093,2550,3643,2176,758,595,1683,2017,8938,109.0
12,Indiana Pacers,82,19830,3707,7723,.480,50,236,.212,1447,1910,.758,1299,2294,3593,2150,755,411,1535,2086,8911,108.7
13,San Diego Clippers,82,19830,3625,7634,.475,64,262,.244,1589,2195,.724,1394,2108,3502,2087,820,408,1600,2284,8903,108.6
14,Golden State Warriors,82,19780,3627,7508,.483,34,150,.227,1620,2199,.737,1281,2284,3565,1964,856,430,1606,2138,8908,108.6
15,Portland Trail Blazers*,82,19755,3459,7124,.486,35,150,.233,1855,2512,.738,1180,2380,3560,2030,749,384,1495,1960,8808,107.4
16,Phoenix Suns*,82,19730,3555,7158,.497,40,158,.253,1626,2189,.743,1094,2518,3612,2300,749,495,1545,2062,8776,107.0
17,Milwaukee Bucks*,82,19830,3486,7133,.489,37,169,.219,1731,2299,.753,1095,2477,3572,2116,662,532,1447,2131,8740,106.6
18,New Jersey Nets*,82,19705,3510,7140,.492,30,149,.201,1622,2301,.705,1266,2427,3693,2143,911,592,1873,2166,8672,105.8
19,Atlanta Hawks*,82,19780,3352,7146,.469,45,188,.239,1586,2111,.751,1139,2433,3572,1945,573,665,1424,2022,8335,101.6
20,New York Knicks*,82,19805,3272,6793,.482,33,131,.252,1621,2282,.710,1080,2263,3343,2034,701,378,1509,2180,8198,100.0
21,Houston Rockets,82,19730,3338,7446,.448,67,271,.247,1402,1934,.725,1206,2260,3466,1931,646,422,1571,2131,8145,99.3
22,Washington Bullets,82,19805,3306,7059,.468,70,237,.295,1452,2059,.705,1099,2430,3529,2046,733,400,1588,1958,8134,99.2
23,Cleveland Cavaliers,82,19755,3252,6995,.465,30,120,.250,1430,1983,.721,1173,2414,3587,1738,617,290,1538,2236,7964,97.1
