Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,San Antonio Spurs*,82,19755,3856,7738,.498,52,206,.252,2024,2528,.801,1153,2515,3668,2326,771,333,1589,2103,9788,119.4
2,Los Angeles Lakers*,82,19880,3898,7368,.529,20,100,.200,1622,2092,.775,1085,2653,3738,2413,774,546,1639,1784,9438,115.1
3,Cleveland Cavaliers,82,19930,3811,8041,.474,36,187,.193,1702,2205,.772,1307,2381,3688,2108,764,342,1370,1934,9360,114.1
4,New York Knicks,82,19780,3802,7672,.496,42,191,.220,1698,2274,.747,1236,2303,3539,2265,881,457,1613,2168,9344,114.0
5,Boston Celtics*,82,19880,3617,7387,.490,162,422,.384,1907,2449,.779,1227,2457,3684,2198,809,308,1539,1974,9303,113.5
6,Indiana Pacers,82,19855,3639,7689,.473,88,314,.280,1753,2333,.751,1398,2326,3724,2148,900,530,1517,1973,9119,111.2
7,Phoenix Suns*,82,19755,3570,7235,.493,68,280,.243,1906,2466,.773,1071,2458,3529,2283,908,344,1629,1853,9114,111.1
8,Houston Rockets*,82,19930,3599,7496,.480,104,379,.274,1782,2326,.766,1394,2217,3611,2149,782,373,1565,1927,9084,110.8
9,Milwaukee Bucks*,82,19805,3685,7553,.488,50,155,.323,1605,2102,.764,1245,2396,3641,2277,778,510,1496,1937,9025,110.1
10,Philadelphia 76ers*,82,19855,3523,7156,.492,27,125,.216,1876,2431,.772,1187,2635,3822,2226,792,652,1708,1860,8949,109.1
11,Detroit Pistons,82,19780,3643,7596,.480,57,219,.260,1590,2149,.740,1226,2415,3641,1950,783,562,1742,2069,8933,108.9
12,Seattle SuperSonics*,82,19830,3554,7565,.470,59,189,.312,1730,2253,.768,1380,2550,3930,2043,750,428,1496,1865,8897,108.5
13,New Jersey Nets,82,19805,3456,7504,.461,85,298,.285,1882,2406,.782,1229,2535,3764,2094,869,581,1702,2181,8879,108.3
14,Denver Nuggets,82,19830,3462,7470,.463,83,255,.325,1871,2539,.737,1311,2524,3835,2079,746,404,1533,1917,8878,108.3
15,Kansas City Kings*,82,19805,3582,7489,.478,25,114,.219,1671,2250,.743,1187,2429,3616,2123,863,356,1439,2135,8860,108.0
16,San Diego Clippers,82,19755,3524,7494,.470,177,543,.326,1595,2167,.736,1294,2308,3602,1688,664,288,1443,1896,8820,107.6
17,Chicago Bulls,82,19905,3362,6943,.484,70,275,.255,2019,2592,.779,1115,2465,3580,2152,704,392,1684,2146,8813,107.5
18,Washington Bullets*,82,19880,3574,7796,.458,73,238,.307,1552,2048,.758,1334,2723,4057,2201,530,443,1380,1893,8773,107.0
19,Atlanta Hawks*,82,19780,3261,7027,.464,13,75,.173,2038,2645,.771,1369,2406,3775,1913,782,539,1495,2293,8573,104.5
20,Golden State Warriors,82,19880,3527,7318,.482,27,121,.223,1412,1914,.738,1155,2437,3592,2028,779,339,1492,2082,8493,103.6
21,Portland Trail Blazers*,82,19780,3408,7167,.476,26,132,.197,1560,2100,.743,1295,2408,3703,1898,708,472,1552,1956,8402,102.5
22,Utah Jazz,82,19805,3382,6817,.496,59,185,.319,1571,1943,.809,967,2359,3326,2005,656,362,1543,2006,8394,102.4
