Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo,24,DEN,82,75,2221,272,585,.465,108,249,.434,72,98,.735,59,193,252,138,46,30,74,225,724
2,Alexis Ajinca,21,CHA,6,0,30,5,10,.500,0,0,,0,1,.000,1,3,4,0,1,1,2,5,10
3,LaMarcus Aldridge,24,POR,78,78,2922,579,1169,.495,5,16,.313,230,304,.757,192,435,627,160,67,48,104,231,1393
4,Joe Alexander,23,CHI,8,0,29,1,6,.167,0,1,.000,2,3,.667,2,3,5,2,1,1,0,9,4
5,Malik Allen,31,DEN,51,3,456,46,116,.397,1,6,.167,12,13,.923,36,46,82,16,11,5,22,68,105
6,Ray Allen,34,BOS,80,80,2819,464,973,.477,145,399,.363,231,253,.913,45,208,253,210,64,25,129,182,1304
7,Tony Allen,28,BOS,54,8,889,129,253,.510,0,5,.000,72,119,.605,52,93,145,72,59,19,66,109,330
8,Rafer Alston,33,TOT,52,38,1421,155,446,.348,58,168,.345,59,81,.728,13,116,129,176,50,10,95,103,427
8,Rafer Alston,33,NJN,27,13,766,95,277,.343,28,87,.322,44,54,.815,9,66,75,104,27,5,61,50,262
8,Rafer Alston,33,MIA,25,25,655,60,169,.355,30,81,.370,15,27,.556,4,50,54,72,23,5,34,53,165
9,Louis Amundson,27,PHO,79,0,1168,152,276,.551,0,1,.000,67,123,.545,128,218,346,31,24,73,57,169,371
10,Chris Andersen,31,DEN,76,0,1695,142,251,.566,0,3,.000,164,236,.695,147,336,483,33,42,143,59,171,448
11,David Andersen,29,HOU,63,0,891,147,340,.432,27,78,.346,46,67,.687,54,154,208,44,15,12,37,119,367
12,Antonio Anderson,24,OKC,1,0,15,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2
13,Ryan Anderson,21,ORL,63,6,911,169,388,.436,78,211,.370,71,82,.866,70,132,202,37,25,14,56,81,487
14,Carmelo Anthony,25,DEN,69,69,2634,688,1502,.458,59,187,.316,508,612,.830,152,302,454,222,88,30,209,225,1943
15,Joel Anthony,27,MIA,80,16,1322,76,159,.478,0,0,,66,92,.717,123,126,249,12,20,109,45,158,218
16,Gilbert Arenas,28,WAS,32,32,1169,253,616,.411,63,181,.348,153,207,.739,17,116,133,230,41,9,117,95,722
17,Trevor Ariza,24,HOU,72,71,2629,394,999,.394,136,407,.334,148,228,.649,78,325,403,276,126,40,161,162,1072
18,Hilton Armstrong,25,TOT,33,0,335,28,79,.354,0,1,.000,15,32,.469,27,54,81,21,15,12,22,59,71
18,Hilton Armstrong,25,NOH,18,0,239,19,50,.380,0,0,,13,28,.464,17,44,61,16,8,8,13,44,51
18,Hilton Armstrong,25,SAC,6,0,56,4,12,.333,0,0,,2,2,1.000,5,9,14,2,2,4,4,5,10
18,Hilton Armstrong,25,HOU,9,0,40,5,17,.294,0,1,.000,0,2,.000,5,1,6,3,5,0,5,10,10
19,Carlos Arroyo,30,MIA,72,35,1585,178,375,.475,7,25,.280,76,90,.844,26,104,130,225,36,6,54,102,439
20,Darrell Arthur,21,MEM,32,1,457,63,146,.432,0,1,.000,17,30,.567,37,73,110,15,14,14,22,60,143
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Chucky Atkins,35,DET,40,11,644,57,157,.363,22,73,.301,25,27,.926,5,24,29,91,17,0,32,53,161
22,D.J. Augustin,22,CHA,80,2,1472,168,435,.386,70,178,.393,102,131,.779,11,86,97,193,45,5,74,127,508
23,Kelenna Azubuike,26,GSW,9,7,231,48,88,.545,10,27,.370,19,28,.679,12,29,41,10,5,9,7,16,125
24,Renaldo Balkman,25,DEN,13,1,91,6,18,.333,0,7,.000,2,6,.333,4,19,23,7,8,2,6,16,14
25,Marcus Banks,28,TOR,22,0,244,39,73,.534,7,24,.292,24,29,.828,3,20,23,26,12,2,20,30,109
26,Leandro Barbosa,27,PHO,44,5,786,155,365,.425,44,136,.324,64,73,.877,11,58,69,64,23,12,46,71,418
27,Jose Barea,25,DAL,78,18,1546,232,527,.440,56,157,.357,76,90,.844,17,129,146,258,35,6,102,119,596
28,Andrea Bargnani,24,TOR,80,80,2799,537,1143,.470,121,325,.372,181,234,.774,105,388,493,93,25,111,120,215,1376
29,Matt Barnes,29,ORL,81,58,2097,271,557,.487,66,207,.319,108,146,.740,106,339,445,134,59,30,112,185,716
30,Earl Barron,28,NYK,7,6,232,30,68,.441,0,0,,22,29,.759,31,46,77,8,4,4,11,24,82
31,Brandon Bass,24,ORL,50,3,648,119,233,.511,0,0,,52,63,.825,54,73,127,19,12,27,31,69,290
32,Tony Battie,33,NJN,15,0,134,14,40,.350,1,4,.250,7,10,.700,4,19,23,3,4,2,3,19,36
33,Shane Battier,31,HOU,67,62,2168,178,447,.398,101,279,.362,77,106,.726,74,238,312,164,53,76,64,139,534
34,Nicolas Batum,21,POR,37,25,918,139,268,.519,54,132,.409,43,51,.843,32,109,141,44,24,25,27,83,375
35,Jerryd Bayless,21,POR,74,11,1304,200,483,.414,29,92,.315,201,242,.831,18,102,120,172,26,5,94,152,630
36,Michael Beasley,21,MIA,78,78,2328,468,1040,.450,28,102,.275,192,240,.800,123,375,498,100,80,49,131,221,1156
37,Rodrigue Beaubois,21,DAL,56,16,700,155,299,.518,45,110,.409,42,52,.808,12,66,78,74,29,12,54,84,397
38,Marco Belinelli,23,TOR,66,1,1121,154,379,.406,60,158,.380,101,121,.835,14,81,95,89,42,5,60,80,469
39,Charlie Bell,30,MIL,71,39,1611,169,443,.381,73,200,.365,48,67,.716,31,101,132,104,39,12,54,136,459
40,Raja Bell,33,TOT,6,5,180,28,61,.459,12,27,.444,3,3,1.000,5,18,23,13,4,2,5,15,71
40,Raja Bell,33,CHA,5,5,157,24,55,.436,9,24,.375,3,3,1.000,5,16,21,10,4,2,5,13,60
40,Raja Bell,33,GSW,1,0,23,4,6,.667,3,3,1.000,0,0,,0,2,2,3,0,0,0,2,11
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Jonathan Bender,29,NYK,25,1,292,40,100,.400,14,39,.359,24,26,.923,15,37,52,16,2,17,28,33,118
42,Mike Bibby,31,ATL,80,80,2195,268,644,.416,126,324,.389,68,79,.861,20,164,184,310,67,3,90,157,730
43,Andris Biedrins,23,GSW,33,29,763,81,137,.591,0,0,,4,25,.160,63,196,259,57,20,44,32,117,166
44,Chauncey Billups,33,DEN,73,73,2490,402,962,.418,157,407,.386,466,512,.910,25,203,228,409,82,9,177,153,1427
45,DeJuan Blair,20,SAS,82,23,1494,275,495,.556,0,2,.000,88,161,.547,200,326,526,65,50,39,112,224,638
46,Steve Blake,29,TOT,80,38,2159,217,522,.416,116,294,.395,36,48,.750,21,166,187,380,58,6,128,123,586
46,Steve Blake,29,POR,51,28,1397,143,355,.403,78,207,.377,24,32,.750,15,103,118,203,37,2,65,84,388
46,Steve Blake,29,LAC,29,10,762,74,167,.443,38,87,.437,12,16,.750,6,63,69,177,21,4,63,39,198
47,Andray Blatche,23,WAS,81,36,2256,478,999,.478,13,44,.295,174,234,.744,158,351,509,170,85,71,182,218,1143
48,Keith Bogans,29,SAS,79,50,1559,120,298,.403,70,196,.357,37,50,.740,25,151,176,95,45,12,53,156,347
49,Andrew Bogut,25,MIL,69,69,2229,473,910,.520,0,2,.000,149,237,.629,208,493,701,127,39,175,131,222,1095
50,Matt Bonner,29,SAS,65,8,1161,166,372,.446,90,231,.390,35,48,.729,52,162,214,68,30,24,39,109,457
51,Josh Boone,25,NJN,63,28,1045,117,223,.525,0,0,,19,58,.328,124,191,315,29,30,48,37,111,253
52,Carlos Boozer,28,UTA,78,78,2673,617,1098,.562,0,0,,285,384,.742,181,693,874,247,84,36,212,270,1519
53,Chris Bosh,25,TOR,70,70,2526,600,1158,.518,8,22,.364,470,590,.797,205,554,759,166,43,68,169,170,1678
54,Ryan Bowen,34,OKC,1,0,8,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,1,0,0,2,4
55,Earl Boykins,33,WAS,67,1,1117,172,403,.427,19,60,.317,77,89,.865,17,58,75,171,24,3,69,48,440
56,Elton Brand,30,PHI,76,57,2297,412,858,.480,0,1,.000,172,233,.738,179,282,461,109,82,80,131,232,996
57,Corey Brewer,23,MIN,82,82,2482,409,949,.431,82,237,.346,166,256,.648,70,209,279,193,117,29,164,224,1066
58,Ronnie Brewer,24,TOT,58,53,1742,209,429,.487,8,31,.258,85,133,.639,45,142,187,154,91,15,53,80,511
58,Ronnie Brewer,24,UTA,53,53,1662,206,416,.495,8,31,.258,81,128,.633,44,136,180,151,85,15,51,80,501
58,Ronnie Brewer,24,MEM,5,0,80,3,13,.231,0,0,,4,5,.800,1,6,7,3,6,0,2,0,10
59,Primoz Brezec,30,TOT,21,0,95,9,26,.346,0,0,,1,6,.167,12,13,25,1,1,3,2,19,19
59,Primoz Brezec,30,PHI,7,0,36,2,13,.154,0,0,,1,2,.500,6,6,12,0,1,1,0,9,5
59,Primoz Brezec,30,MIL,14,0,59,7,13,.538,0,0,,0,4,.000,6,7,13,1,0,2,2,10,14
60,Jon Brockman,22,SAC,52,4,654,55,103,.534,0,0,,37,62,.597,105,108,213,22,15,5,23,115,147
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Aaron Brooks,25,HOU,82,82,2919,575,1331,.432,209,525,.398,245,298,.822,54,161,215,434,69,14,232,199,1604
62,Bobby Brown,25,TOT,45,0,519,88,237,.371,26,98,.265,13,15,.867,9,29,38,88,15,1,46,42,215
62,Bobby Brown,25,NOH,22,0,328,60,152,.395,17,66,.258,8,8,1.000,1,17,18,46,9,1,24,28,145
62,Bobby Brown,25,LAC,23,0,191,28,85,.329,9,32,.281,5,7,.714,8,12,20,42,6,0,22,14,70
63,Derrick Brown,22,CHA,57,0,535,68,147,.463,2,7,.286,48,72,.667,31,47,78,19,21,10,19,53,186
64,Devin Brown,31,TOT,50,37,1060,136,361,.377,58,164,.354,69,86,.802,29,95,124,65,33,6,62,72,399
64,Devin Brown,31,NOH,39,37,967,128,325,.394,54,147,.367,69,86,.802,27,82,109,58,30,5,57,62,379
64,Devin Brown,31,CHI,11,0,93,8,36,.222,4,17,.235,0,0,,2,13,15,7,3,1,5,10,20
65,Kwame Brown,27,DET,48,1,660,62,124,.500,0,1,.000,33,98,.337,53,124,177,22,15,12,43,93,157
66,Shannon Brown,24,LAL,82,7,1700,253,592,.427,62,189,.328,99,121,.818,30,153,183,108,57,31,67,129,667
67,Kobe Bryant,31,LAL,73,73,2835,716,1569,.456,99,301,.329,439,541,.811,78,313,391,365,113,20,233,187,1970
68,Chase Budinger,21,HOU,74,4,1488,249,565,.441,92,249,.369,67,87,.770,38,182,220,88,34,11,48,85,657
69,Caron Butler,29,TOT,74,74,2783,450,1051,.428,42,145,.290,264,315,.838,104,357,461,156,116,24,160,193,1206
69,Caron Butler,29,WAS,47,47,1853,293,694,.422,25,95,.263,185,211,.877,68,248,316,107,68,15,113,126,796
69,Caron Butler,29,DAL,27,27,930,157,357,.440,17,50,.340,79,104,.760,36,109,145,49,48,9,47,67,410
70,Rasual Butler,30,LAC,82,64,2702,356,870,.409,145,432,.336,122,145,.841,39,201,240,116,36,68,79,121,979
71,Andrew Bynum,22,LAL,65,65,1977,392,688,.570,0,1,.000,193,261,.739,177,364,541,68,35,94,115,193,977
72,Will Bynum,27,DET,63,20,1667,237,534,.444,12,55,.218,142,178,.798,24,118,142,283,55,7,115,143,628
73,Jose Calderon,28,TOR,68,39,1817,274,568,.482,68,171,.398,83,104,.798,23,119,142,404,47,7,99,135,699
74,Marcus Camby,35,TOT,74,74,2314,238,501,.475,2,7,.286,78,122,.639,249,622,871,186,95,146,91,161,556
74,Marcus Camby,35,LAC,51,51,1596,166,356,.466,2,6,.333,60,91,.659,166,450,616,151,69,99,64,105,394
74,Marcus Camby,35,POR,23,23,718,72,145,.497,0,1,.000,18,31,.581,83,172,255,35,26,47,27,56,162
