Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,22,POR,43,0,290,55,116,.474,0,0,,25,44,.568,27,62,89,12,4,12,22,39,135
2,Mahmoud Abdul-Rauf,21,DEN,67,19,1505,417,1009,.413,24,100,.240,84,98,.857,34,87,121,206,55,4,110,149,942
3,Mark Acres,28,ORL,68,0,1313,109,214,.509,1,3,.333,66,101,.653,140,219,359,25,25,25,42,218,285
4,Michael Adams,28,DEN,66,66,2346,560,1421,.394,167,564,.296,465,529,.879,58,198,256,693,147,6,240,162,1752
5,Mark Aguirre,31,DET,78,13,2006,420,909,.462,24,78,.308,240,317,.757,134,240,374,139,47,20,128,209,1104
6,Danny Ainge,31,POR,80,0,1710,337,714,.472,102,251,.406,114,138,.826,45,160,205,285,63,13,100,195,890
7,Mark Alarie,27,WSB,42,1,587,99,225,.440,5,21,.238,41,48,.854,41,76,117,45,15,8,40,88,244
8,Steve Alford,26,DAL,34,0,236,59,117,.504,7,23,.304,26,31,.839,10,14,24,22,8,1,16,11,151
9,Greg Anderson,26,TOT,68,2,924,116,270,.430,0,1,.000,60,115,.522,97,221,318,16,35,45,84,140,292
9,Greg Anderson,26,MIL,26,0,247,27,73,.370,0,1,.000,16,28,.571,26,49,75,3,8,9,22,29,70
9,Greg Anderson,26,NJN,1,0,18,4,4,1.000,0,0,,0,0,,4,2,6,1,2,0,1,4,8
9,Greg Anderson,26,DEN,41,2,659,85,193,.440,0,0,,44,87,.506,67,170,237,12,25,36,61,107,214
10,Nick Anderson,23,ORL,70,42,1971,400,857,.467,17,58,.293,173,259,.668,92,294,386,106,74,44,113,145,990
11,Ron Anderson,32,PHI,82,13,2340,512,1055,.485,9,43,.209,165,198,.833,103,264,367,115,65,13,100,163,1198
12,Willie Anderson,24,SAS,75,75,2592,453,991,.457,7,35,.200,170,213,.798,68,283,351,358,79,46,167,226,1083
13,Michael Ansley,23,ORL,67,1,877,144,263,.548,0,0,,91,127,.717,122,131,253,25,27,7,32,125,379
14,B.J. Armstrong,23,CHI,82,0,1731,304,632,.481,15,30,.500,97,111,.874,25,124,149,301,70,4,107,118,720
15,Vincent Askew,24,GSW,7,0,85,12,25,.480,0,0,,9,11,.818,7,4,11,13,2,0,6,21,33
16,Keith Askins,23,MIA,39,1,266,34,81,.420,6,25,.240,12,25,.480,30,38,68,19,16,13,11,46,86
17,Milos Babic,22,CLE,12,0,52,6,19,.316,0,0,,7,12,.583,6,3,9,4,1,1,5,7,19
18,Thurl Bailey,29,UTA,82,22,2486,399,872,.458,0,3,.000,219,271,.808,101,306,407,124,53,91,130,160,1017
19,Cedric Ball,22,LAC,7,0,26,3,8,.375,0,0,,2,2,1.000,5,6,11,0,0,2,2,5,8
20,Ken Bannister,30,LAC,47,3,339,43,81,.531,0,1,.000,25,65,.385,34,62,96,9,5,7,25,73,111
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Charles Barkley*,27,PHI,67,67,2498,665,1167,.570,44,155,.284,475,658,.722,258,422,680,284,110,33,210,173,1849
22,Dana Barros,23,SEA,66,0,750,154,311,.495,32,81,.395,78,85,.918,17,54,71,111,23,1,54,40,418
23,John Battle,28,ATL,79,2,1863,397,862,.461,14,49,.286,270,316,.854,34,125,159,217,45,6,113,145,1078
