Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,28,POR,54,49,1867,337,670,.503,15,39,.385,220,254,.866,123,269,392,111,49,26,117,150,909
2,Cory Alexander,31,CHA,16,1,201,16,49,.327,8,19,.421,9,12,.750,8,21,29,37,9,1,19,29,49
3,Malik Allen,26,TOT,36,1,519,84,177,.475,0,0,,26,28,.929,40,59,99,18,9,22,18,53,194
3,Malik Allen,26,MIA,14,0,248,35,76,.461,0,0,,13,14,.929,24,28,52,11,4,11,11,29,83
3,Malik Allen,26,CHA,22,1,271,49,101,.485,0,0,,13,14,.929,16,31,47,7,5,11,7,24,111
4,Ray Allen,29,SEA,78,78,3064,640,1494,.428,209,556,.376,378,428,.883,79,268,347,289,84,5,171,167,1867
5,Tony Allen,23,BOS,77,34,1262,184,387,.475,12,31,.387,112,152,.737,85,136,221,64,76,24,77,156,492
6,Rafer Alston,28,TOR,80,78,2717,403,974,.414,139,389,.357,191,258,.740,42,237,279,514,118,7,170,212,1136
7,Chris Andersen,26,NOH,67,2,1430,191,358,.534,0,3,.000,131,190,.689,137,273,410,71,14,100,64,144,513
8,Derek Anderson,30,POR,47,32,1239,152,391,.389,58,151,.384,70,87,.805,25,103,128,143,36,4,70,89,432
9,Kenny Anderson,34,TOT,43,20,743,85,201,.423,6,13,.462,27,37,.730,24,64,88,103,33,0,49,87,203
9,Kenny Anderson,34,ATL,39,20,717,81,190,.426,6,13,.462,27,37,.730,23,60,83,98,33,0,46,81,195
9,Kenny Anderson,34,LAC,4,0,26,4,11,.364,0,0,,0,0,,1,4,5,5,0,0,3,6,8
10,Shandon Anderson,31,TOT,66,5,1171,98,217,.452,5,29,.172,54,66,.818,41,150,191,70,40,14,50,138,255
10,Shandon Anderson,31,NYK,1,0,20,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,2,0
10,Shandon Anderson,31,MIA,65,5,1151,98,215,.456,5,28,.179,54,66,.818,40,150,190,70,40,14,49,136,255
11,Carmelo Anthony,20,DEN,75,75,2608,530,1230,.431,42,158,.266,456,573,.796,141,285,426,194,68,30,224,229,1558
12,Rafael Araujo,24,TOR,59,41,736,76,175,.434,1,3,.333,43,55,.782,59,126,185,16,21,8,52,157,196
13,Gilbert Arenas,23,WAS,80,80,3274,656,1523,.431,205,562,.365,521,640,.814,83,295,378,411,139,23,242,245,2038
14,Trevor Ariza,19,NYK,80,12,1382,172,389,.442,3,13,.231,121,174,.695,89,153,242,85,70,18,73,150,468
15,Darrell Armstrong,36,TOT,66,16,988,89,277,.321,28,111,.252,58,68,.853,35,80,115,178,45,8,67,92,264
15,Darrell Armstrong,36,NOH,14,9,412,53,159,.333,17,70,.243,19,21,.905,16,32,48,65,15,2,28,30,142
15,Darrell Armstrong,36,DAL,52,7,576,36,118,.305,11,41,.268,39,47,.830,19,48,67,113,30,6,39,62,122
16,Carlos Arroyo,25,TOT,70,16,1448,167,429,.389,8,30,.267,119,149,.799,26,78,104,280,44,4,107,143,461
16,Carlos Arroyo,25,UTA,30,16,742,93,232,.401,7,18,.389,53,63,.841,11,35,46,152,20,3,55,67,246
16,Carlos Arroyo,25,DET,40,0,706,74,197,.376,1,12,.083,66,86,.767,15,43,58,128,24,1,52,76,215
17,Chucky Atkins,30,LAL,82,82,2903,388,910,.426,176,455,.387,163,203,.803,31,166,197,358,73,2,151,181,1115
18,Stacey Augmon,36,ORL,55,7,663,68,167,.407,0,0,,57,77,.740,45,54,99,36,23,8,31,83,193
19,Maurice Baker,25,TOT,5,0,19,0,1,.000,0,0,,0,0,,1,1,2,1,1,0,1,3,0
19,Maurice Baker,25,LAC,1,0,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
19,Maurice Baker,25,POR,4,0,18,0,1,.000,0,0,,0,0,,1,1,2,1,1,0,1,3,0
20,Vin Baker,33,TOT,27,0,204,13,42,.310,0,1,.000,9,17,.529,17,22,39,10,2,4,17,38,35
20,Vin Baker,33,NYK,24,0,191,13,38,.342,0,1,.000,7,15,.467,17,20,37,9,2,4,15,31,33
20,Vin Baker,33,HOU,3,0,13,0,4,.000,0,0,,2,2,1.000,0,2,2,1,0,0,2,7,2
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Marcus Banks,23,BOS,81,2,1145,115,286,.402,21,59,.356,121,163,.742,29,97,126,155,63,13,79,146,372
22,Leandro Barbosa,22,PHO,63,6,1087,168,354,.475,51,139,.367,55,69,.797,32,98,130,126,30,7,87,127,442
23,Matt Barnes,24,SAC,43,9,715,62,151,.411,5,22,.227,35,58,.603,49,84,133,57,30,7,45,80,164
