Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,40,LAL,80,80,2308,480,903,.532,0,1,.000,205,269,.762,118,360,478,135,48,92,159,216,1165
2,Mark Acres,25,BOS,79,5,1151,108,203,.532,0,0,,71,111,.640,105,165,270,42,29,27,54,198,287
3,Alvan Adams,33,PHO,82,25,1646,251,506,.496,1,2,.500,108,128,.844,118,247,365,183,82,41,140,245,611
4,Michael Adams,25,DEN,82,75,2778,416,927,.449,139,379,.367,166,199,.834,40,183,223,503,168,16,144,138,1137
5,Mark Aguirre,28,DAL,77,77,2610,746,1571,.475,52,172,.302,388,504,.770,182,252,434,278,70,57,203,223,1932
6,Danny Ainge,28,BOS,81,81,3018,482,982,.491,148,357,.415,158,180,.878,59,190,249,503,115,17,153,203,1270
7,Mark Alarie,24,WSB,63,0,769,144,300,.480,4,18,.222,35,49,.714,70,90,160,39,10,12,50,107,327
8,Steve Alford,23,DAL,28,0,197,21,55,.382,1,8,.125,16,17,.941,3,20,23,23,17,3,12,23,59
9,Greg Anderson,23,SAS,82,45,1984,379,756,.501,1,5,.200,198,328,.604,161,352,513,79,54,122,143,228,957
10,Richard Anderson,27,TOT,74,3,1350,171,439,.390,48,150,.320,58,77,.753,91,212,303,112,51,16,61,137,448
10,Richard Anderson,27,HOU,12,0,53,11,26,.423,6,15,.400,4,5,.800,9,8,17,4,1,0,1,4,32
10,Richard Anderson,27,POR,62,3,1297,160,413,.387,42,135,.311,54,72,.750,82,204,286,108,50,16,60,133,416
11,Ron Anderson,29,IND,74,1,1097,217,436,.498,0,2,.000,108,141,.766,89,127,216,78,41,6,73,98,542
12,Joe Arlauckas,22,SAC,9,0,85,14,43,.326,0,0,,6,8,.750,6,7,13,8,3,4,4,16,34
13,Vincent Askew,21,PHI,14,2,234,22,74,.297,0,0,,8,11,.727,6,16,22,33,10,6,12,12,52
14,John Bagley,27,NJN,82,74,2774,393,896,.439,47,161,.292,148,180,.822,61,196,257,479,110,10,201,162,981
15,James Bailey,30,PHO,65,0,869,109,241,.452,0,4,.000,70,89,.787,73,137,210,42,17,28,70,180,288
16,Thurl Bailey,26,UTA,82,10,2804,633,1286,.492,1,3,.333,337,408,.826,134,397,531,158,49,125,190,186,1604
17,Charles Barkley*,24,PHI,80,80,3170,753,1283,.587,44,157,.280,714,951,.751,385,566,951,254,100,103,304,278,2264
18,John Battle,25,ATL,67,1,1227,278,613,.454,16,41,.390,141,188,.750,26,87,113,158,31,5,75,84,713
19,William Bedford,24,DET,38,0,298,44,101,.436,0,0,,13,23,.565,27,38,65,4,8,17,19,47,101
20,Benoit Benjamin,23,LAC,66,59,2171,340,693,.491,0,8,.000,180,255,.706,112,418,530,172,50,225,223,203,860
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Kent Benson,33,CLE,2,0,12,2,2,1.000,0,0,,1,2,.500,0,1,1,0,1,1,2,2,5
22,Walter Berry,23,SAS,73,56,1922,540,960,.563,0,0,,192,320,.600,176,219,395,110,55,63,162,207,1272
23,Larry Bird*,31,BOS,76,75,2965,881,1672,.527,98,237,.414,415,453,.916,108,595,703,467,125,57,213,157,2275
24,Otis Birdsong,32,NJN,67,59,1882,337,736,.458,9,25,.360,47,92,.511,73,94,167,222,54,11,129,143,730
25,Uwe Blab,25,DAL,73,1,658,58,132,.439,0,0,,46,65,.708,52,82,134,35,8,29,49,108,162
26,Rolando Blackman,28,DAL,71,69,2580,497,1050,.473,0,5,.000,331,379,.873,82,164,246,262,64,18,144,112,1325
27,Nate Blackwell,22,SAS,10,0,112,15,41,.366,2,11,.182,5,6,.833,2,4,6,18,3,0,8,16,37
28,Muggsy Bogues,23,WSB,79,14,1628,166,426,.390,3,16,.188,58,74,.784,35,101,136,404,127,3,101,138,393
29,Manute Bol,25,WSB,77,4,1136,75,165,.455,0,1,.000,26,49,.531,72,203,275,13,11,208,35,160,176
30,Dudley Bradley,30,TOT,65,15,1437,156,365,.427,37,102,.363,74,97,.763,25,102,127,151,114,43,88,172,423
30,Dudley Bradley,30,MIL,2,0,5,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0
30,Dudley Bradley,30,NJN,63,15,1432,156,364,.429,37,101,.366,74,97,.763,25,101,126,150,114,43,88,170,423
31,Adrian Branch,24,NJN,20,3,308,56,134,.418,1,5,.200,20,23,.870,20,28,48,16,16,11,29,41,133
32,Randy Breuer,27,MIL,81,73,2258,390,788,.495,0,0,,188,286,.657,191,360,551,103,46,107,107,198,968
33,Frank Brickowski,28,SAS,70,68,2227,425,805,.528,1,5,.200,268,349,.768,167,316,483,266,74,36,207,275,1119
34,Michael Brooks,29,DEN,16,0,133,20,49,.408,0,0,,3,4,.750,19,25,44,13,4,1,12,21,43
35,Mike Brown,24,CHI,46,27,591,78,174,.448,0,1,.000,41,71,.577,66,93,159,28,11,4,38,85,197
36,Steve Burtt,25,LAC,19,0,312,62,138,.449,0,4,.000,47,69,.681,6,21,27,38,10,5,40,56,171
37,Michael Cage,26,LAC,72,70,2660,360,766,.470,0,1,.000,326,474,.688,371,567,938,110,91,58,160,194,1046
38,Tony Campbell,25,LAL,13,1,242,57,101,.564,1,3,.333,28,39,.718,8,19,27,15,11,2,26,41,143
39,Rick Carlisle,28,NYK,26,0,204,29,67,.433,6,17,.353,10,11,.909,6,7,13,32,11,4,22,39,74
40,Antoine Carr,26,ATL,80,2,1483,281,517,.544,1,4,.250,142,182,.780,94,195,289,103,38,83,116,272,705
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Joe Barry Carroll,29,TOT,77,30,2004,402,924,.435,0,2,.000,172,225,.764,131,358,489,113,50,106,164,195,976
41,Joe Barry Carroll,29,GSW,14,14,408,79,209,.378,0,1,.000,59,74,.797,21,72,93,19,13,25,43,46,217
41,Joe Barry Carroll,29,HOU,63,16,1596,323,715,.452,0,1,.000,113,151,.748,110,286,396,94,37,81,121,149,759
42,Bill Cartwright,30,NYK,82,4,1676,287,528,.544,0,0,,340,426,.798,127,257,384,85,43,43,135,234,914
43,Terry Catledge,24,WSB,70,40,1610,296,585,.506,0,2,.000,154,235,.655,180,217,397,63,33,9,101,172,746
44,Tom Chambers,28,SEA,82,82,2680,611,1364,.448,33,109,.303,419,519,.807,135,355,490,212,87,53,209,297,1674
45,Maurice Cheeks,31,PHI,79,79,2871,428,865,.495,3,22,.136,227,275,.825,59,194,253,635,167,22,160,116,1086
46,Ben Coleman,26,TOT,70,24,1498,226,453,.499,0,3,.000,141,185,.762,116,234,350,62,43,41,127,230,593
46,Ben Coleman,26,NJN,27,10,657,116,240,.483,0,2,.000,65,84,.774,58,115,173,39,28,16,72,110,297
46,Ben Coleman,26,PHI,43,14,841,110,213,.516,0,1,.000,76,101,.752,58,119,177,23,15,25,55,120,296
47,Norris Coleman,26,LAC,29,11,431,66,191,.346,1,2,.500,20,36,.556,36,45,81,13,11,6,16,51,153
48,Steve Colter,25,TOT,68,53,1513,203,441,.460,3,10,.300,75,95,.789,58,115,173,261,62,14,88,132,484
48,Steve Colter,25,PHI,12,0,152,15,40,.375,0,0,,7,9,.778,7,11,18,26,6,0,11,20,37
48,Steve Colter,25,WSB,56,53,1361,188,401,.469,3,10,.300,68,86,.791,51,104,155,235,56,14,77,112,447
49,Dallas Comegys,23,NJN,75,17,1122,156,363,.430,0,1,.000,106,150,.707,54,164,218,65,36,70,116,175,418
50,Lester Conner,28,HOU,52,3,399,50,108,.463,0,7,.000,32,41,.780,20,18,38,59,38,1,33,31,132
51,Jeff Cook,31,PHO,33,0,359,14,59,.237,0,1,.000,23,28,.821,37,69,106,14,9,8,14,64,51
