Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,24,TOT,75,52,1311,245,473,.518,0,1,.000,88,116,.759,126,211,337,27,25,26,97,189,578
1,Alaa Abdelnaby,24,MIL,12,0,159,26,56,.464,0,1,.000,12,16,.750,12,25,37,10,6,4,13,24,64
1,Alaa Abdelnaby,24,BOS,63,52,1152,219,417,.525,0,0,,76,100,.760,114,186,300,17,19,22,84,165,514
2,Mahmoud Abdul-Rauf,23,DEN,81,81,2710,633,1407,.450,70,197,.355,217,232,.935,51,174,225,344,84,8,187,179,1553
3,Mark Acres,30,TOT,18,7,269,26,49,.531,1,2,.500,11,16,.688,26,41,67,5,3,6,13,34,64
3,Mark Acres,30,HOU,6,0,23,2,9,.222,1,2,.500,1,2,.500,2,4,6,0,0,0,2,2,6
3,Mark Acres,30,WSB,12,7,246,24,40,.600,0,0,,10,14,.714,24,37,61,5,3,6,11,32,58
4,Michael Adams,30,WSB,70,70,2499,365,831,.439,68,212,.321,237,277,.856,52,188,240,526,100,4,175,146,1035
5,Rafael Addison,28,NJN,68,15,1164,182,411,.443,7,34,.206,57,70,.814,45,87,132,53,23,11,64,125,428
6,Mark Aguirre,33,DET,51,15,1056,187,422,.443,30,83,.361,99,129,.767,43,109,152,105,16,7,68,101,503
7,Danny Ainge,33,PHO,80,0,2163,337,730,.462,150,372,.403,123,145,.848,49,165,214,260,69,8,113,175,947
8,Victor Alexander,23,GSW,72,59,1753,344,667,.516,10,22,.455,111,162,.685,132,288,420,93,34,53,120,218,809
9,Eric Anderson,22,NYK,16,0,44,5,18,.278,0,0,,11,13,.846,6,8,14,3,3,1,5,14,21
10,Kenny Anderson,22,NJN,55,55,2010,370,850,.435,7,25,.280,180,232,.776,51,175,226,449,96,11,153,140,927
