Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,27,TOT,85,56,2684,501,1054,.475,9,34,.265,373,429,.869,189,450,639,174,68,37,184,222,1384
1,Shareef Abdur-Rahim,27,ATL,53,53,1956,383,790,.485,5,23,.217,294,334,.880,141,354,495,127,44,19,131,147,1065
1,Shareef Abdur-Rahim,27,POR,32,3,728,118,264,.447,4,11,.364,79,95,.832,48,96,144,47,24,18,53,75,319
2,Malik Allen,25,MIA,45,6,616,83,198,.419,0,0,,25,33,.758,42,77,119,16,12,28,27,81,191
3,Ray Allen,28,SEA,56,56,2152,447,1017,.440,148,378,.392,245,271,.904,69,217,286,268,71,11,156,132,1287
4,Rafer Alston,27,MIA,82,28,2581,287,764,.376,161,434,.371,103,134,.769,26,200,226,372,114,18,128,212,838
5,Chris Andersen,25,DEN,71,0,1029,90,203,.443,0,1,.000,63,107,.589,89,209,298,35,34,114,48,119,243
6,Derek Anderson,29,POR,51,46,1810,230,612,.376,79,259,.305,155,188,.824,26,156,182,228,66,3,90,79,694
7,Kenny Anderson,33,IND,44,31,905,113,256,.441,1,4,.250,35,48,.729,19,62,81,125,26,5,50,73,262
8,Shandon Anderson,30,NYK,80,37,1974,238,564,.422,36,128,.281,123,161,.764,53,169,222,122,68,17,118,182,635
9,Carmelo Anthony,19,DEN,82,82,2995,624,1465,.426,69,214,.322,408,525,.777,183,315,498,227,97,41,247,225,1725
10,Robert Archibald,23,TOT,32,3,256,9,33,.273,0,0,,14,31,.452,21,31,52,13,14,3,10,50,32
10,Robert Archibald,23,PHO,1,0,6,0,1,.000,0,0,,1,2,.500,0,1,1,1,0,0,1,1,1
10,Robert Archibald,23,ORL,1,0,4,1,2,.500,0,0,,0,2,.000,0,1,1,0,1,0,0,0,2
10,Robert Archibald,23,TOR,30,3,246,8,30,.267,0,0,,13,27,.481,21,29,50,12,13,3,9,49,29
11,Gilbert Arenas,22,WAS,55,52,2066,358,914,.392,125,333,.375,237,317,.748,55,199,254,275,103,12,226,176,1078
12,Brandon Armstrong,23,NJN,56,0,434,65,175,.371,19,52,.365,2,4,.500,12,31,43,14,12,2,24,49,151
13,Darrell Armstrong,35,NOH,79,22,2247,291,736,.395,135,429,.315,123,144,.854,63,163,226,311,133,16,155,148,840
14,Carlos Arroyo,24,UTA,71,71,2008,339,768,.441,38,117,.325,181,225,.804,41,144,185,355,63,5,156,165,897
15,Chucky Atkins,29,TOT,64,24,1544,192,484,.397,81,241,.336,73,97,.753,9,84,93,223,45,2,92,102,538
15,Chucky Atkins,29,DET,40,0,751,88,235,.374,42,130,.323,31,43,.721,6,42,48,95,19,1,48,60,249
