Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,30,SAC,80,45,2015,310,654,.474,3,20,.150,170,234,.726,122,276,398,109,53,40,116,243,793
2,Hassan Adams,22,NJN,61,8,495,75,135,.556,0,1,.000,24,36,.667,35,42,77,13,17,4,22,47,174
3,Maurice Ager,22,DAL,32,1,214,22,70,.314,5,15,.333,20,33,.606,1,20,21,7,4,3,15,27,69
4,LaMarcus Aldridge,21,POR,63,22,1392,241,479,.503,0,2,.000,83,115,.722,144,168,312,24,22,73,43,186,565
5,Malik Allen,28,CHI,60,1,638,107,258,.415,0,1,.000,28,34,.824,42,77,119,16,17,16,21,85,242
6,Ray Allen,31,SEA,55,55,2219,505,1153,.438,165,443,.372,279,309,.903,57,190,247,228,82,11,154,113,1454
7,Tony Allen,25,BOS,33,18,805,133,259,.514,8,33,.242,105,134,.784,35,89,124,56,49,12,75,87,379
8,Rafer Alston,30,HOU,82,82,3040,383,1020,.375,192,529,.363,130,177,.734,29,253,282,444,129,10,170,195,1088
9,Louis Amundson,24,TOT,11,0,89,6,15,.400,0,0,,4,10,.400,13,15,28,1,1,8,5,15,16
9,Louis Amundson,24,UTA,1,0,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Louis Amundson,24,PHI,10,0,87,6,15,.400,0,0,,4,10,.400,13,15,28,1,1,8,5,15,16
10,Alan Anderson,24,CHA,17,0,256,37,81,.457,5,20,.250,19,23,.826,11,21,32,21,7,0,22,33,98
11,Derek Anderson,32,CHA,50,32,1190,126,294,.429,54,152,.355,93,106,.877,29,84,113,133,52,7,56,115,399
12,Carmelo Anthony,22,DEN,65,65,2486,691,1453,.476,40,149,.268,459,568,.808,143,248,391,249,77,23,234,203,1881
13,Rafael Araujo,26,UTA,28,0,248,27,65,.415,0,0,,18,29,.621,22,44,66,10,6,2,17,39,72
14,Gilbert Arenas,25,WAS,74,73,2942,647,1548,.418,205,584,.351,606,718,.844,61,277,338,443,139,13,236,249,2105
15,Trevor Ariza,21,ORL,57,7,1278,200,371,.539,0,7,.000,106,171,.620,98,151,249,65,59,19,84,134,506
16,Darrell Armstrong,38,IND,81,4,1275,156,377,.414,72,214,.336,73,93,.785,34,101,135,191,70,6,76,102,457
17,Hilton Armstrong,22,NOK,56,5,634,68,125,.544,0,0,,40,67,.597,58,91,149,10,12,26,35,79,176
18,Carlos Arroyo,27,ORL,72,5,1304,203,478,.425,14,51,.275,132,166,.795,31,103,134,202,39,2,90,131,552
19,Chucky Atkins,32,MEM,75,23,2064,310,715,.434,116,306,.379,252,311,.810,18,121,139,346,50,4,127,136,988
20,James Augustine,22,ORL,2,0,7,1,3,.333,0,0,,0,0,,1,2,3,2,0,0,0,2,2
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Kelenna Azubuike,23,GSW,41,9,669,98,220,.445,34,79,.430,61,78,.782,26,68,94,28,22,10,39,49,291
22,Renaldo Balkman,22,NYK,68,1,1064,139,275,.505,5,27,.185,51,90,.567,97,197,294,44,57,44,49,146,334
23,Marcus Banks,25,PHO,45,1,503,84,196,.429,5,29,.172,48,60,.800,10,28,38,60,23,3,40,70,221
24,Leandro Barbosa,24,PHO,80,18,2613,529,1111,.476,190,438,.434,196,232,.845,22,192,214,317,96,15,146,210,1444
25,Jose Barea,22,DAL,33,1,191,28,78,.359,6,21,.286,16,24,.667,7,18,25,24,1,1,14,19,78
26,Andrea Bargnani,21,TOR,65,2,1629,267,625,.427,100,268,.373,117,142,.824,52,203,255,50,32,53,107,180,751
27,Matt Barnes,26,GSW,76,23,1813,275,628,.438,106,290,.366,90,123,.732,91,259,350,156,73,41,105,188,746
28,Andre Barrett,24,CHI,6,0,29,4,8,.500,0,0,,0,0,,1,4,5,7,0,0,4,4,8
29,Earl Barron,25,MIA,28,0,203,24,83,.289,0,1,.000,17,18,.944,19,22,41,5,6,4,11,21,65
30,Brent Barry,35,SAS,75,28,1631,202,425,.475,128,287,.446,103,117,.880,17,143,160,138,56,12,61,88,635
31,Brandon Bass,21,NOK,21,3,162,15,44,.341,0,1,.000,12,16,.750,13,30,43,3,2,3,10,16,42
32,Maceo Baston,31,IND,47,2,405,49,76,.645,3,7,.429,37,47,.787,21,53,74,16,12,18,32,65,138
33,Esteban Batista,23,ATL,13,0,81,8,16,.500,0,0,,4,7,.571,7,23,30,4,3,0,4,13,20
34,Tony Battie,30,ORL,66,66,1575,176,360,.489,0,1,.000,52,77,.675,92,252,344,35,29,30,61,185,404
35,Shane Battier,28,HOU,82,82,2988,292,654,.446,157,373,.421,88,113,.779,67,271,338,175,79,60,72,190,829
36,Charlie Bell,27,MIL,82,64,2848,426,974,.437,127,361,.352,131,168,.780,57,181,238,247,97,4,104,213,1110
37,Raja Bell,30,PHO,78,78,2917,410,950,.432,205,496,.413,118,152,.776,48,203,251,196,50,22,83,233,1143
38,Mike Bibby,28,SAC,82,82,2784,471,1166,.404,173,481,.360,288,347,.830,39,224,263,388,88,6,197,139,1403
39,Andris Biedrins,20,GSW,82,63,2382,348,581,.599,0,0,,87,167,.521,251,511,762,88,67,136,119,304,783
40,Chauncey Billups,30,DET,70,70,2533,348,815,.427,109,316,.345,386,437,.883,23,214,237,502,84,17,140,161,1191
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Steve Blake,26,TOT,82,42,2225,209,509,.411,67,208,.322,43,64,.672,21,148,169,408,61,8,129,121,528
41,Steve Blake,26,MIL,33,2,583,45,129,.349,19,68,.279,11,20,.550,7,38,45,84,10,3,28,49,120
41,Steve Blake,26,DEN,49,40,1642,164,380,.432,48,140,.343,32,44,.727,14,110,124,324,51,5,101,72,408
42,Will Blalock,23,DET,14,0,166,9,30,.300,1,5,.200,6,6,1.000,6,9,15,17,5,0,12,9,25
43,Andray Blatche,20,WAS,56,13,682,86,197,.437,4,27,.148,30,49,.612,77,114,191,39,17,32,49,94,206
44,Mark Blount,31,MIN,82,81,2544,427,839,.509,9,31,.290,147,195,.754,136,369,505,67,43,58,159,239,1010
45,Keith Bogans,26,ORL,59,18,990,99,245,.404,53,137,.387,47,63,.746,16,77,93,59,28,2,46,98,298
46,Andrew Bogut,22,MIL,66,66,2258,348,629,.553,1,5,.200,112,194,.577,168,416,584,198,49,35,150,216,809
47,Matt Bonner,26,SAS,56,0,653,106,237,.447,36,94,.383,27,38,.711,64,92,156,22,17,11,25,67,275
48,Josh Boone,22,NJN,61,0,669,99,171,.579,0,0,,56,103,.544,64,112,176,10,11,21,33,94,254
49,Calvin Booth,30,WAS,44,1,380,31,66,.470,1,2,.500,6,10,.600,27,54,81,18,4,29,9,71,69
50,Carlos Boozer,25,UTA,74,74,2557,647,1154,.561,0,0,,255,372,.685,235,632,867,221,70,21,194,217,1549
51,Chris Bosh,22,TOR,69,69,2658,543,1094,.496,12,35,.343,463,590,.785,186,555,741,175,39,90,179,163,1561
52,Bruce Bowen,35,SAS,82,82,2464,189,467,.405,89,232,.384,43,73,.589,23,200,223,117,62,25,65,175,510
53,Earl Boykins,30,TOT,66,23,2031,323,769,.420,95,239,.397,220,245,.898,49,90,139,291,56,2,120,92,961
53,Earl Boykins,30,DEN,31,4,877,156,378,.413,41,110,.373,119,131,.908,23,40,63,132,25,2,52,31,472
53,Earl Boykins,30,MIL,35,19,1154,167,391,.427,54,129,.419,101,114,.886,26,50,76,159,31,0,68,61,489
54,Cedric Bozeman,23,ATL,23,5,199,11,39,.282,2,13,.154,2,6,.333,3,20,23,9,5,2,9,32,26
55,Elton Brand,27,LAC,80,80,3077,645,1211,.533,1,1,1.000,351,461,.761,268,476,744,235,77,179,202,238,1642
56,Ronnie Brewer,21,UTA,56,14,675,102,193,.528,0,9,.000,56,83,.675,37,38,75,24,37,6,24,44,260
57,Primoz Brezec,27,CHA,58,40,838,122,274,.445,1,3,.333,43,68,.632,80,104,184,23,11,23,38,161,288
58,Andre Brown,25,SEA,38,0,271,42,74,.568,0,1,.000,9,15,.600,26,48,74,2,6,4,29,26,93
59,Dee Brown,22,UTA,49,0,450,32,98,.327,6,28,.214,24,37,.649,8,32,40,83,22,7,31,51,94
60,Devin Brown,28,NOK,58,49,1662,233,555,.420,81,227,.357,123,155,.794,55,196,251,149,44,9,91,139,670
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Kwame Brown,24,LAL,41,28,1132,143,242,.591,0,1,.000,59,134,.440,81,163,244,75,39,49,76,124,345
62,P.J. Brown,37,CHI,72,49,1456,170,418,.407,0,2,.000,96,122,.787,129,218,347,48,24,52,85,187,436
63,Shannon Brown,21,CLE,23,5,202,28,74,.378,7,25,.280,10,14,.714,6,15,21,10,7,3,14,24,73
64,Kobe Bryant,28,LAL,77,77,3140,813,1757,.463,137,398,.344,667,768,.868,75,364,439,413,111,36,255,205,2430
65,Greg Buckner,30,DAL,76,11,1372,123,299,.411,32,103,.311,27,34,.794,35,123,158,70,47,7,40,152,305
66,Pat Burke,33,PHO,23,0,164,23,65,.354,6,22,.273,8,13,.615,12,35,47,5,3,2,7,19,60
67,Caron Butler,26,WAS,63,63,2474,451,975,.463,18,72,.250,283,328,.863,147,320,467,233,134,17,181,188,1203
68,Jackie Butler,21,SAS,11,2,103,16,35,.457,0,0,,9,10,.900,6,16,22,5,2,0,10,16,41
69,Rasual Butler,27,NOK,81,38,2223,314,788,.398,134,363,.369,56,87,.644,42,214,256,63,40,54,67,148,818
70,Andrew Bynum,19,LAL,82,53,1793,247,443,.558,0,3,.000,143,214,.668,139,345,484,94,12,128,115,249,637
71,Jose Calderon,25,TOR,77,11,1614,263,505,.521,25,75,.333,117,143,.818,21,113,134,387,63,5,110,136,668
72,Marcus Camby,32,DEN,70,70,2369,312,659,.473,0,2,.000,161,221,.729,164,652,816,223,87,231,122,183,785
73,Brian Cardinal,29,MEM,28,1,313,42,85,.494,18,44,.409,25,27,.926,13,46,59,31,22,1,23,42,127
74,Rodney Carney,22,PHI,67,35,1169,182,392,.464,25,72,.347,53,87,.609,39,89,128,26,38,23,43,118,442
75,Matt Carroll,26,CHA,72,47,1878,285,658,.433,111,267,.416,188,208,.904,35,172,207,91,53,9,73,176,869
76,Anthony Carter,31,DEN,2,0,37,3,8,.375,0,2,.000,0,0,,0,3,3,11,0,1,6,4,6
77,Vince Carter,30,NJN,82,82,3126,726,1598,.454,156,437,.357,462,576,.802,114,378,492,393,82,30,217,266,2070
78,Sam Cassell,37,LAC,58,30,1407,261,625,.418,32,109,.294,160,182,.879,27,140,167,270,28,8,101,126,714
79,Kelvin Cato,32,NYK,18,0,95,7,22,.318,0,0,,8,12,.667,12,19,31,0,3,10,6,10,22
80,Tyson Chandler,24,NOK,73,73,2525,292,468,.624,0,1,.000,106,201,.527,320,584,904,66,37,129,126,244,690
