Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,38,LAL,79,79,2629,755,1338,.564,0,2,.000,336,439,.765,133,345,478,280,67,130,203,248,1846
2,Alvan Adams,31,PHO,78,45,2005,341,679,.502,0,2,.000,159,203,.783,148,329,477,324,103,46,206,272,841
3,Michael Adams,23,SAC,18,0,139,16,44,.364,0,3,.000,8,12,.667,2,4,6,22,9,1,11,9,40
4,Mark Aguirre,26,DAL,74,73,2501,668,1327,.503,16,56,.286,318,451,.705,177,268,445,339,62,14,252,229,1670
5,Danny Ainge,26,BOS,80,78,2407,353,701,.504,26,73,.356,123,136,.904,47,188,235,405,94,7,129,204,855
6,Ron Anderson,27,TOT,77,30,1676,310,628,.494,2,9,.222,85,127,.669,130,144,274,144,56,6,82,125,707
6,Ron Anderson,27,CLE,17,3,207,37,74,.500,0,1,.000,12,16,.750,5,21,26,8,1,0,6,20,86
6,Ron Anderson,27,IND,60,27,1469,273,554,.493,2,8,.250,73,111,.658,125,123,248,136,55,6,76,105,621
7,John Bagley,25,CLE,78,77,2472,366,865,.423,9,37,.243,170,215,.791,76,199,275,735,122,10,239,165,911
8,James Bailey,28,NYK,48,36,1245,202,443,.456,0,4,.000,129,167,.772,102,232,334,50,33,40,99,207,533
9,Thurl Bailey,24,UTA,82,13,2358,483,1077,.448,0,7,.000,230,277,.830,148,345,493,153,42,114,144,160,1196
10,Greg Ballard,31,GSW,75,14,1792,272,570,.477,17,35,.486,101,126,.802,132,285,417,83,65,8,54,174,662
11,Gene Banks,26,CHI,82,33,2139,356,688,.517,0,19,.000,183,255,.718,178,182,360,251,81,10,139,212,895
12,Ken Bannister,25,NYK,70,15,1405,235,479,.491,0,1,.000,131,249,.526,89,233,322,42,42,24,129,208,601
13,Charles Barkley*,22,PHI,80,80,2952,595,1041,.572,17,75,.227,396,578,.685,354,672,1026,312,173,125,350,333,1603
14,John Battle,23,ATL,64,0,639,101,222,.455,0,7,.000,75,103,.728,12,50,62,74,23,3,47,80,277
15,Benoit Benjamin,21,LAC,79,37,2088,324,661,.490,1,3,.333,229,307,.746,161,439,600,79,64,206,145,286,878
16,Kent Benson,31,DET,72,51,1344,201,415,.484,1,2,.500,66,83,.795,118,258,376,80,58,51,58,196,469
17,Larry Bird*,29,BOS,82,81,3113,796,1606,.496,82,194,.423,441,492,.896,190,615,805,557,166,51,266,182,2115
18,Otis Birdsong,30,NJN,77,74,2395,542,1056,.513,8,22,.364,122,210,.581,88,114,202,261,85,17,179,228,1214
19,Uwe Blab,23,DAL,48,0,409,44,94,.468,0,0,,36,67,.537,25,66,91,17,3,12,28,65,124
20,Rolando Blackman,26,DAL,82,81,2787,677,1318,.514,4,29,.138,404,483,.836,88,203,291,271,79,25,189,138,1762
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Manute Bol,23,WSB,80,60,2090,128,278,.460,0,1,.000,42,86,.488,123,354,477,23,28,397,65,255,298
22,Sam Bowie,24,POR,38,34,1132,167,345,.484,0,0,,114,161,.708,93,234,327,99,21,96,88,142,448
23,Dudley Bradley,28,WSB,70,7,842,73,209,.349,17,68,.250,32,56,.571,24,71,95,107,85,3,44,101,195
24,Mike Bratz,30,SAC,33,0,269,26,70,.371,4,14,.286,14,18,.778,2,21,23,39,13,0,17,43,70
25,Randy Breuer,25,MIL,82,63,1792,272,570,.477,0,1,.000,141,198,.712,159,299,458,114,50,116,122,214,685
26,Ron Brewer,30,TOT,44,3,570,86,224,.384,5,17,.294,34,38,.895,14,39,53,40,17,6,23,44,211
26,Ron Brewer,30,CHI,4,0,18,3,9,.333,0,0,,1,1,1.000,0,0,0,0,0,0,2,1,7
26,Ron Brewer,30,CLE,40,3,552,83,215,.386,5,17,.294,33,37,.892,14,39,53,40,17,6,21,43,204
27,Frank Brickowski,26,SEA,40,2,311,30,58,.517,0,0,,18,27,.667,16,38,54,21,11,7,23,74,78
28,Junior Bridgeman,32,LAC,58,14,1161,199,451,.441,6,18,.333,106,119,.891,29,94,123,108,31,8,68,81,510
29,Mike Brittain,22,SAS,32,2,219,22,43,.512,0,0,,10,19,.526,10,39,49,5,3,12,20,54,54
30,Tony Brown,25,CHI,10,0,132,18,41,.439,0,2,.000,9,13,.692,5,11,16,14,5,1,4,16,45
31,Wallace Bryant,26,TOT,17,8,218,15,48,.313,0,0,,11,19,.579,17,36,53,15,5,5,9,38,41
31,Wallace Bryant,26,DAL,9,8,154,11,30,.367,0,0,,6,11,.545,9,24,33,11,3,2,7,26,28
31,Wallace Bryant,26,LAC,8,0,64,4,18,.222,0,0,,5,8,.625,8,12,20,4,2,3,2,12,13
32,Quinn Buckner,31,IND,32,3,419,49,104,.471,0,1,.000,19,27,.704,9,42,51,86,40,3,55,80,117
33,Michael Cage,24,LAC,78,12,1566,204,426,.479,0,3,.000,113,174,.649,168,249,417,81,62,34,106,176,521
34,Tony Campbell,23,DET,82,1,1292,294,608,.484,2,9,.222,58,73,.795,83,153,236,45,62,7,86,164,648
35,Rick Carlisle,26,BOS,77,1,760,92,189,.487,0,10,.000,15,23,.652,22,55,77,104,19,4,50,92,199
36,Antoine Carr,24,ATL,17,0,258,49,93,.527,0,0,,18,27,.667,16,36,52,14,7,15,14,51,116
37,Kenny Carr,30,POR,55,31,1557,232,466,.498,0,4,.000,149,217,.687,146,346,492,70,38,30,106,203,613
38,Joe Barry Carroll,27,GSW,79,79,2801,650,1404,.463,0,2,.000,377,501,.752,193,477,670,176,101,143,275,277,1677
39,Butch Carter,27,TOT,9,0,67,7,24,.292,0,1,.000,6,7,.857,2,2,4,4,1,0,7,14,20
39,Butch Carter,27,NYK,5,0,31,2,8,.250,0,1,.000,1,1,1.000,2,1,3,3,1,0,6,6,5
39,Butch Carter,27,PHI,4,0,36,5,16,.313,0,0,,5,6,.833,0,1,1,1,0,0,1,8,15
40,Bill Cartwright,28,NYK,2,0,36,3,7,.429,0,0,,6,10,.600,2,8,10,5,1,1,6,6,12
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Terry Catledge,22,PHI,64,7,1092,202,431,.469,0,4,.000,90,139,.647,107,165,272,21,31,8,69,127,494
42,Bobby Cattage,27,NJN,29,1,185,28,83,.337,1,5,.200,35,44,.795,15,19,34,4,6,0,13,23,92
43,Tom Chambers,26,SEA,66,26,2019,432,928,.466,13,48,.271,346,414,.836,126,305,431,132,55,37,194,248,1223
44,Lorenzo Charles,22,ATL,36,0,273,49,88,.557,0,0,,24,36,.667,13,26,39,8,2,6,18,37,122
45,Maurice Cheeks,29,PHI,82,82,3270,490,913,.537,4,17,.235,282,335,.842,55,180,235,753,207,27,238,160,1266
46,Fred Cofield,24,NYK,45,1,469,75,184,.408,3,15,.200,12,20,.600,6,40,46,82,20,3,49,65,165
47,Steve Colter,23,POR,81,51,1868,272,597,.456,27,83,.325,135,164,.823,41,136,177,257,113,10,115,188,706
48,Lester Conner,26,GSW,36,0,413,51,136,.375,2,7,.286,40,54,.741,25,37,62,43,24,1,15,23,144
49,Darwin Cook,27,NJN,79,33,1965,267,627,.426,11,53,.208,84,111,.757,51,126,177,390,156,22,132,172,629
50,Jeff Cook,29,TOT,36,0,373,31,73,.425,0,1,.000,27,42,.643,33,53,86,21,13,11,14,65,89
50,Jeff Cook,29,SAS,34,0,356,28,67,.418,0,1,.000,26,41,.634,31,50,81,21,13,11,11,64,82
50,Jeff Cook,29,UTA,2,0,17,3,6,.500,0,0,,1,1,1.000,2,3,5,0,0,0,3,1,7
51,David Cooke,22,SAC,6,0,38,2,11,.182,0,0,,5,10,.500,5,5,10,1,4,0,2,5,9
52,Michael Cooper,29,LAL,82,15,2269,274,606,.452,63,163,.387,147,170,.865,44,200,244,466,89,43,151,238,758
53,Wayne Cooper,29,DEN,78,78,2112,422,906,.466,3,7,.429,174,219,.795,190,420,610,81,42,227,117,315,1021
54,Tyrone Corbin,23,SAS,16,0,174,27,64,.422,0,1,.000,10,14,.714,11,14,25,11,11,2,12,21,64
55,Dave Corzine,29,CHI,67,4,1709,255,519,.491,3,12,.250,127,171,.743,132,301,433,150,28,53,104,133,640
56,Ron Crevier,27,TOT,3,0,4,0,3,.000,0,0,,0,2,.000,1,0,1,0,0,0,0,2,0
