Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien,25,HOU,8,0,63,7,16,.438,0,0,,7,12,.583,5,17,22,1,0,2,2,13,21
2,Arron Afflalo,26,DEN,62,62,2086,329,699,.471,88,221,.398,197,247,.798,40,157,197,149,36,13,85,134,943
3,Blake Ahearn,27,UTA,4,0,30,4,14,.286,2,9,.222,0,0,,0,2,2,1,0,0,5,4,10
4,Solomon Alabi,23,TOR,14,0,122,13,36,.361,0,0,,7,8,.875,15,32,47,3,2,9,5,11,33
5,Cole Aldrich,23,OKC,26,0,173,22,42,.524,0,0,,13,14,.929,13,35,48,3,8,16,9,22,57
6,LaMarcus Aldridge,26,POR,55,55,1994,483,943,.512,2,11,.182,223,274,.814,150,292,442,134,51,45,111,153,1191
7,Lavoy Allen,22,PHI,41,15,624,79,167,.473,0,0,,11,14,.786,47,124,171,34,13,18,20,73,169
8,Ray Allen,36,BOS,46,42,1565,226,493,.458,106,234,.453,97,106,.915,14,128,142,109,49,8,68,83,655
9,Tony Allen,30,MEM,58,57,1525,210,448,.469,8,26,.308,140,175,.800,98,135,233,79,104,33,94,142,568
10,Morris Almond,26,WAS,4,0,67,6,17,.353,1,3,.333,1,3,.333,1,7,8,2,7,0,1,6,14
11,Al-Farouq Aminu,21,NOH,66,21,1477,150,365,.411,13,47,.277,86,114,.754,95,213,308,66,59,34,91,136,399
12,Louis Amundson,29,IND,60,0,753,89,207,.430,0,0,,35,82,.427,94,128,222,14,27,44,45,125,213
13,Chris Andersen,33,DEN,32,1,486,59,108,.546,0,0,,50,82,.610,48,100,148,6,19,46,17,52,168
14,Alan Anderson,29,TOR,17,12,461,55,142,.387,24,61,.393,29,34,.853,8,26,34,26,5,3,25,35,163
15,James Anderson,22,SAS,51,2,603,66,174,.379,19,68,.279,39,52,.750,16,63,79,41,8,2,30,35,190
16,Ryan Anderson,23,ORL,61,61,1964,332,757,.439,166,422,.393,150,171,.877,224,247,471,54,50,26,57,146,980
17,Carmelo Anthony,27,NYK,55,55,1876,441,1025,.430,68,203,.335,295,367,.804,88,256,344,200,62,24,144,156,1245
18,Joel Anthony,29,MIA,64,51,1349,85,152,.559,0,0,,49,71,.690,100,150,250,9,36,84,45,126,219
19,Gilbert Arenas,30,MEM,17,0,211,26,64,.406,13,39,.333,7,10,.700,2,16,18,18,11,1,12,35,72
20,Trevor Ariza,26,NOH,41,41,1350,168,403,.417,29,87,.333,79,102,.775,41,174,215,135,69,25,76,73,444
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Omer Asik,25,CHI,66,2,971,79,156,.506,0,0,,47,103,.456,127,223,350,32,30,68,68,121,205
22,D.J. Augustin,24,CHA,48,46,1408,183,487,.376,61,179,.341,105,120,.875,24,85,109,307,36,1,110,65,532
23,Gustavo Ayon,26,NOH,54,24,1088,140,261,.536,0,1,.000,39,63,.619,86,179,265,74,53,46,46,118,319
24,Kelenna Azubuike,28,DAL,3,0,18,3,8,.375,1,3,.333,0,0,,0,0,0,0,1,0,4,1,7
25,Luke Babbitt,22,POR,40,4,537,71,173,.410,43,100,.430,17,20,.850,16,79,95,16,10,4,27,46,202
26,Renaldo Balkman,27,NYK,14,0,115,16,32,.500,2,9,.222,8,11,.727,6,20,26,5,4,3,6,14,42
27,Leandro Barbosa,29,TOT,64,0,1382,271,637,.425,65,170,.382,101,124,.815,33,95,128,96,56,7,94,135,708
27,Leandro Barbosa,29,TOR,42,0,946,198,454,.436,40,111,.360,76,91,.835,21,58,79,63,36,7,68,101,512
27,Leandro Barbosa,29,IND,22,0,436,73,183,.399,25,59,.424,25,33,.758,12,37,49,33,20,0,26,34,196
28,Jose Barea,27,MIN,41,11,1032,167,418,.400,53,143,.371,76,98,.776,14,100,114,232,21,0,103,61,463
29,Andrea Bargnani,26,TOR,31,31,1032,209,484,.432,34,115,.296,151,173,.873,24,148,172,61,18,15,69,52,603
30,Matt Barnes,31,LAL,63,16,1440,175,387,.452,46,138,.333,95,128,.742,97,247,344,126,35,48,73,152,491
31,Earl Barron,30,GSW,2,0,9,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,5,4
32,Brandon Bass,26,BOS,59,39,1868,303,632,.479,0,0,,132,163,.810,95,270,365,55,34,54,65,135,738
33,Tony Battie,35,PHI,27,11,295,19,51,.373,0,1,.000,4,4,1.000,8,59,67,16,4,6,4,26,42
34,Shane Battier,33,MIA,65,10,1499,113,292,.387,62,183,.339,23,37,.622,56,100,156,82,64,33,37,105,311
35,Nicolas Batum,23,POR,59,34,1791,289,641,.451,107,274,.391,133,159,.836,81,190,271,84,57,60,90,105,818
36,Jerryd Bayless,23,TOR,31,11,705,117,276,.424,44,104,.423,75,88,.852,8,58,66,118,24,4,53,70,353
37,Michael Beasley,23,MIN,47,7,1087,221,497,.445,38,101,.376,61,95,.642,39,168,207,45,18,19,80,83,541
38,Rodrigue Beaubois,23,DAL,53,12,1151,188,445,.422,38,132,.288,58,69,.841,19,132,151,152,56,28,70,98,472
39,Marco Belinelli,25,NOH,66,55,1966,286,686,.417,107,284,.377,101,129,.783,19,153,172,101,48,5,69,115,780
40,Raja Bell,35,UTA,34,33,796,81,174,.466,34,87,.391,21,25,.840,6,43,49,38,13,2,21,78,217
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Keith Benson,23,GSW,3,0,9,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0
42,Mike Bibby,33,NYK,39,4,557,35,124,.282,27,85,.318,6,8,.750,5,54,59,80,21,3,20,45,103
43,Andris Biedrins,25,GSW,47,35,739,39,64,.609,0,0,,1,9,.111,45,131,176,16,23,45,14,125,79
44,Chauncey Billups,35,LAC,20,20,607,83,228,.364,48,125,.384,85,95,.895,4,46,50,80,9,3,38,40,299
45,Bismack Biyombo,19,CHA,63,41,1455,129,278,.464,0,0,,69,143,.483,113,255,368,27,20,115,71,145,327
