Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,28,DAL,14,0,204,27,58,.466,0,1,.000,3,6,.500,14,26,40,21,6,3,7,26,57
2,Shareef Abdur-Rahim,26,ATL,81,81,3087,566,1183,.478,21,60,.350,455,541,.841,175,502,677,242,87,38,212,240,1608
3,Courtney Alexander,25,NOH,66,7,1360,193,505,.382,19,57,.333,118,146,.808,39,79,118,79,31,6,68,125,523
4,Malik Allen,24,MIA,80,73,2318,335,790,.424,0,4,.000,97,121,.802,134,291,425,54,37,78,128,234,767
5,Ray Allen,27,TOT,76,75,2880,598,1363,.439,201,533,.377,316,345,.916,94,287,381,334,103,14,198,220,1713
5,Ray Allen,27,MIL,47,46,1683,351,803,.437,123,311,.395,178,195,.913,45,173,218,164,57,11,117,149,1003
5,Ray Allen,27,SEA,29,29,1197,247,560,.441,78,222,.351,138,150,.920,49,114,163,170,46,3,81,71,710
6,Rafer Alston,26,TOR,47,4,980,139,335,.415,51,130,.392,37,54,.685,21,86,107,192,38,15,86,120,366
7,John Amaechi,32,UTA,50,1,474,37,118,.314,0,0,,25,52,.481,26,51,77,21,14,7,34,50,99
8,Chris Andersen,24,DEN,59,3,907,114,285,.400,0,1,.000,77,140,.550,109,165,274,32,30,60,60,90,305
9,Derek Anderson,28,POR,76,76,2556,355,832,.427,116,331,.350,231,269,.859,53,211,264,325,90,16,128,141,1057
10,Kenny Anderson,32,TOT,61,2,1135,163,382,.427,1,7,.143,45,57,.789,31,101,132,198,58,5,75,106,372
10,Kenny Anderson,32,SEA,38,1,689,102,232,.440,0,5,.000,29,35,.829,17,70,87,121,40,1,33,63,233
10,Kenny Anderson,32,NOH,23,1,446,61,150,.407,1,2,.500,16,22,.727,14,31,45,77,18,4,42,43,139
11,Shandon Anderson,29,NYK,82,9,1731,248,537,.462,52,140,.371,139,190,.732,64,190,254,87,73,20,114,177,687
12,Robert Archibald,22,MEM,12,0,72,6,20,.300,0,0,,7,18,.389,6,11,17,3,0,3,7,9,19
13,Gilbert Arenas,21,GSW,82,82,2866,509,1180,.431,109,313,.348,370,468,.791,97,289,386,514,124,17,290,260,1497
14,Brandon Armstrong,22,NJN,17,0,69,9,27,.333,1,6,.167,5,6,.833,0,4,4,2,3,1,5,8,24
15,Darrell Armstrong,34,ORL,82,23,2350,263,643,.409,78,232,.336,165,188,.878,91,204,295,323,135,13,160,167,769
16,Carlos Arroyo,23,UTA,44,0,287,50,109,.459,3,7,.429,18,22,.818,11,15,26,53,12,1,30,28,121
17,Chucky Atkins,28,DET,65,7,1398,168,465,.361,86,242,.355,40,49,.816,21,75,96,175,27,4,77,108,462
18,Stacey Augmon,34,NOH,70,3,862,79,192,.411,0,7,.000,54,72,.750,26,93,119,69,27,9,40,80,212
19,Dalibor Bagaric,22,CHI,10,0,76,8,26,.308,0,0,,3,4,.750,7,13,20,4,3,3,5,11,19
20,Vin Baker,31,BOS,52,9,942,99,207,.478,0,4,.000,72,107,.673,90,108,198,29,22,30,61,146,270
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Brent Barry,31,SEA,75,68,2480,264,577,.458,118,293,.403,128,161,.795,48,253,301,384,113,15,142,199,774
22,Jon Barry,33,DET,80,0,1473,191,424,.450,87,214,.407,86,100,.860,33,147,180,206,63,14,81,104,555
23,Maceo Baston,27,TOR,16,0,106,15,25,.600,0,0,,10,12,.833,4,19,23,0,4,11,6,16,40
24,Mengke Bateer,27,SAS,12,0,46,4,17,.235,1,3,.333,0,2,.000,2,8,10,4,0,0,6,14,9
25,Mike Batiste,25,MEM,75,2,1248,197,467,.422,18,81,.222,69,88,.784,82,175,257,52,42,16,69,120,481
26,Tony Battie,26,BOS,67,62,1683,199,369,.539,1,5,.200,88,118,.746,148,285,433,49,33,81,48,197,487
27,Shane Battier,24,MEM,78,47,2383,275,569,.483,86,216,.398,120,145,.828,128,217,345,105,102,88,68,207,756
28,Lonny Baxter,24,CHI,55,0,682,96,206,.466,0,2,.000,70,103,.680,65,100,165,16,9,22,46,135,262
29,Raja Bell,26,DAL,75,32,1173,93,211,.441,21,51,.412,23,34,.676,47,98,145,57,52,8,43,134,230
30,Jonathan Bender,22,IND,46,2,819,112,254,.441,19,53,.358,60,84,.714,42,91,133,42,8,56,42,86,303
31,Corey Benjamin,24,ATL,9,0,152,13,43,.302,2,13,.154,12,16,.750,10,21,31,10,1,2,6,20,40
32,Travis Best,30,MIA,72,52,1807,231,583,.396,36,109,.330,105,123,.854,26,121,147,255,44,7,106,174,603
33,Mike Bibby,24,SAC,55,55,1835,329,700,.470,56,137,.409,161,187,.861,34,113,147,285,72,8,127,93,875
34,Chauncey Billups,26,DET,74,74,2327,366,870,.421,149,380,.392,318,362,.878,38,235,273,287,63,15,134,136,1199
35,Corie Blount,34,CHI,50,3,836,65,134,.485,0,0,,20,35,.571,68,137,205,50,33,19,43,121,150
36,Mark Blount,27,TOT,81,31,1403,150,347,.432,0,0,,101,139,.727,111,197,308,56,42,68,103,187,401
36,Mark Blount,27,DEN,54,24,885,105,267,.393,0,0,,71,99,.717,62,121,183,35,22,51,70,112,281
36,Mark Blount,27,BOS,27,7,518,45,80,.563,0,0,,30,40,.750,49,76,125,21,20,17,33,75,120
37,Calvin Booth,26,SEA,47,0,575,52,119,.437,0,2,.000,34,47,.723,32,77,109,12,11,33,22,74,138
38,Carlos Boozer,21,CLE,81,54,2049,331,618,.536,0,1,.000,148,192,.771,202,407,609,106,59,50,103,224,810
39,Ruben Boumtje-Boumtje,24,POR,2,0,5,0,1,.000,0,0,,0,0,,1,0,1,1,1,0,0,0,0
40,Bruce Bowen,31,SAS,82,82,2566,223,479,.466,101,229,.441,36,89,.404,59,180,239,113,66,42,72,195,583
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Ryan Bowen,27,DEN,62,31,996,97,197,.492,2,7,.286,27,41,.659,78,79,157,54,65,29,43,82,223
42,Earl Boykins,26,GSW,68,0,1321,199,464,.429,29,77,.377,173,200,.865,35,53,88,221,38,4,73,75,600
43,Michael Bradley,23,TOR,67,11,1314,151,314,.481,1,6,.167,35,67,.522,162,247,409,67,16,32,76,125,338
44,Shawn Bradley,30,DAL,81,39,1731,201,375,.536,0,1,.000,141,175,.806,151,325,476,54,65,170,67,242,543
45,Elton Brand,23,LAC,62,61,2454,451,899,.502,0,1,.000,244,356,.685,283,420,703,157,71,158,161,204,1146
46,J.R. Bremer,22,BOS,64,41,1503,171,464,.369,101,286,.353,85,111,.766,18,127,145,164,38,3,59,80,528
47,Jamison Brewer,22,IND,10,0,80,9,17,.529,0,2,.000,4,9,.444,5,4,9,18,2,1,6,11,22
48,Primoz Brezec,23,IND,22,1,111,15,38,.395,0,1,.000,12,20,.600,13,10,23,4,2,4,7,16,42
49,Damone Brown,23,TOR,5,3,115,11,35,.314,0,2,.000,6,8,.750,3,12,15,3,1,0,6,14,28
50,Devin Brown,24,TOT,10,2,93,12,35,.343,0,1,.000,6,8,.750,8,10,18,7,4,1,9,14,30
50,Devin Brown,24,SAS,7,0,22,5,10,.500,0,0,,2,2,1.000,4,3,7,2,0,0,5,3,12
50,Devin Brown,24,DEN,3,2,71,7,25,.280,0,1,.000,4,6,.667,4,7,11,5,4,1,4,11,18
51,Kedrick Brown,21,BOS,51,5,666,61,171,.357,3,39,.077,20,32,.625,45,95,140,20,34,13,23,68,145
52,Kwame Brown,20,WAS,80,20,1773,224,502,.446,0,3,.000,145,217,.668,128,298,426,58,50,80,110,159,593
53,P.J. Brown,33,NOH,78,78,2609,319,601,.531,0,3,.000,194,232,.836,243,458,701,147,67,80,98,203,832
54,Randy Brown,34,PHO,32,0,262,16,43,.372,0,0,,9,12,.750,3,23,26,35,17,2,17,36,41
55,Tierre Brown,23,CLE,15,0,168,27,59,.458,0,1,.000,11,14,.786,8,22,30,39,13,0,22,9,65
56,Rick Brunson,30,CHI,17,0,196,23,50,.460,4,6,.667,10,12,.833,4,15,19,36,10,3,17,20,60
57,Kobe Bryant,24,LAL,82,82,3401,868,1924,.451,124,324,.383,601,713,.843,106,458,564,481,181,67,288,218,2461
58,Mark Bryant,37,TOT,16,0,100,5,19,.263,0,0,,3,4,.750,8,12,20,4,1,1,7,18,13
58,Mark Bryant,37,PHI,11,0,77,5,17,.294,0,0,,2,2,1.000,7,9,16,1,1,1,5,12,12
58,Mark Bryant,37,DEN,3,0,14,0,1,.000,0,0,,1,2,.500,1,1,2,2,0,0,2,4,1
58,Mark Bryant,37,BOS,2,0,9,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,2,0
59,Greg Buckner,26,PHI,75,5,1514,185,398,.465,15,55,.273,65,81,.802,72,144,216,96,72,16,62,203,450
60,Pat Burke,29,ORL,62,8,783,113,296,.382,1,7,.143,40,58,.690,57,89,146,23,19,25,47,99,267
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Caron Butler,22,MIA,78,78,2858,429,1032,.416,34,107,.318,309,375,.824,135,262,397,213,137,31,192,230,1201
62,Rasual Butler,23,MIA,72,28,1514,207,572,.362,50,171,.292,76,104,.731,29,157,186,93,21,43,77,105,540
63,Jason Caffey,29,MIL,51,16,894,113,248,.456,0,0,,69,106,.651,68,108,176,38,19,15,56,122,295
64,Marcus Camby,28,DEN,29,9,616,93,227,.410,2,5,.400,33,50,.660,75,133,208,47,20,40,27,69,221
65,Elden Campbell,34,TOT,56,1,869,117,295,.397,0,1,.000,109,136,.801,47,134,181,51,33,39,50,129,343
65,Elden Campbell,34,NOH,41,1,685,101,247,.409,0,1,.000,93,115,.809,34,108,142,42,24,31,42,102,295
65,Elden Campbell,34,SEA,15,0,184,16,48,.333,0,0,,16,21,.762,13,26,39,9,9,8,8,27,48
66,Brian Cardinal,25,WAS,5,0,15,1,4,.250,0,1,.000,2,2,1.000,3,2,5,1,0,0,1,0,4
67,Anthony Carter,27,MIA,49,26,912,83,233,.356,0,8,.000,33,50,.660,12,71,83,203,45,5,81,70,199
68,Vince Carter,26,TOR,43,42,1471,355,760,.467,45,131,.344,129,160,.806,59,129,188,143,48,41,74,121,884
69,Sam Cassell,33,MIL,78,77,2700,546,1162,.470,59,163,.362,385,447,.861,57,285,342,450,88,14,177,216,1536
70,Kelvin Cato,28,HOU,73,5,1247,133,256,.520,0,4,.000,66,124,.532,132,296,428,20,38,85,56,176,332
71,Tyson Chandler,20,CHI,75,68,1827,257,484,.531,0,0,,177,291,.608,169,345,514,76,37,106,135,220,691
72,Calbert Cheaney,31,UTA,81,74,2351,325,651,.499,10,25,.400,40,69,.580,73,211,284,163,65,13,108,225,700
73,Chris Childs,35,NJN,12,0,106,6,20,.300,1,6,.167,2,3,.667,3,2,5,16,8,1,6,17,15
74,Doug Christie,32,SAC,80,80,2710,267,557,.479,73,185,.395,141,174,.810,61,281,342,376,180,37,144,186,748
75,Keon Clark,27,SAC,80,11,1780,226,451,.501,0,4,.000,84,128,.656,138,313,451,80,38,150,94,227,536
76,Speedy Claxton,24,SAS,30,0,471,67,145,.462,0,11,.000,39,57,.684,22,34,56,75,22,7,35,43,173
77,Mateen Cleaves,25,SAC,12,0,55,6,23,.261,1,1,1.000,3,4,.750,1,7,8,10,2,0,14,6,16
78,Derrick Coleman,35,PHI,64,35,1742,223,498,.448,22,67,.328,134,171,.784,151,299,450,87,53,69,96,171,602
79,Bimbo Coles,34,TOT,35,11,691,56,168,.333,7,32,.219,35,42,.833,11,48,59,72,17,4,28,60,154
79,Bimbo Coles,34,CLE,21,11,516,34,119,.286,7,25,.280,27,34,.794,10,38,48,56,11,4,18,43,102
79,Bimbo Coles,34,BOS,14,0,175,22,49,.449,0,7,.000,8,8,1.000,1,10,11,16,6,0,10,17,52
80,Jason Collier,25,HOU,13,3,104,17,36,.472,0,0,,2,2,1.000,12,17,29,1,2,1,2,10,36
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Jarron Collins,24,UTA,22,7,421,38,86,.442,0,1,.000,44,62,.710,32,28,60,14,5,6,19,70,120
82,Jason Collins,24,NJN,81,66,1900,140,338,.414,0,4,.000,180,236,.763,136,232,368,87,47,44,85,252,460
83,Chris Crawford,27,ATL,5,0,38,8,13,.615,1,3,.333,7,8,.875,3,4,7,1,2,3,2,7,24
84,Jamal Crawford,22,CHI,80,31,1992,334,808,.413,86,242,.355,104,129,.806,21,164,185,334,77,25,134,126,858
85,Austin Croshere,27,IND,49,0,633,86,209,.411,27,69,.391,53,65,.815,40,115,155,56,6,13,28,48,252
86,John Crotty,33,DEN,12,0,180,14,41,.341,4,13,.308,9,15,.600,1,14,15,29,3,0,9,16,41
87,Eddy Curry,20,CHI,81,48,1571,335,573,.585,0,0,,179,287,.624,116,237,353,37,18,62,137,226,849
88,Michael Curry,34,DET,78,77,1555,92,229,.402,16,54,.296,36,45,.800,16,111,127,104,44,4,43,163,236
89,Erick Dampier,27,GSW,82,82,1978,259,522,.496,0,2,.000,155,222,.698,248,295,543,58,27,154,112,242,673
90,Antonio Daniels,27,POR,67,2,872,84,186,.452,18,59,.305,65,76,.855,11,61,72,85,33,9,32,43,251
91,Antonio Davis,34,TOR,53,52,1894,261,641,.407,0,0,,216,280,.771,130,307,437,131,23,62,118,150,738
92,Baron Davis,23,NOH,50,47,1889,332,798,.416,99,283,.350,93,131,.710,56,130,186,320,91,22,140,148,856
93,Dale Davis,33,POR,78,78,2282,237,438,.541,0,0,,105,166,.633,233,331,564,94,51,70,71,189,579
94,Emanual Davis,34,ATL,24,1,340,32,88,.364,7,29,.241,17,22,.773,5,38,43,36,12,2,25,28,88
95,Hubert Davis,32,DET,43,1,328,31,79,.392,12,36,.333,5,6,.833,6,30,36,29,5,0,11,23,79
96,Ricky Davis,23,CLE,79,76,3131,602,1470,.410,74,204,.363,348,465,.748,97,293,390,436,125,36,277,180,1626
97,Andrew DeClercq,29,ORL,77,22,1327,149,279,.534,0,0,,67,104,.644,142,197,339,52,39,36,84,258,365
98,Tony Delk,29,BOS,67,39,1873,233,560,.416,120,304,.395,68,87,.782,41,191,232,146,72,10,69,124,654
99,Dan Dickau,24,ATL,50,0,515,70,170,.412,22,61,.361,21,26,.808,9,34,43,85,14,2,53,66,183
100,Michael Dickerson,27,MEM,6,1,87,10,24,.417,4,11,.364,5,5,1.000,1,5,6,8,5,1,6,16,29
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,DeSagana Diop,21,CLE,80,1,943,54,154,.351,0,0,,11,30,.367,63,152,215,43,33,81,56,148,119
102,Vlade Divac,34,SAC,80,80,2384,305,655,.466,6,25,.240,179,251,.713,157,417,574,274,83,105,152,239,795
103,Juan Dixon,24,WAS,42,3,647,104,271,.384,25,84,.298,37,46,.804,13,59,72,40,26,3,42,54,270
104,Michael Doleac,25,NYK,75,0,1041,146,343,.426,0,0,,36,46,.783,65,154,219,42,16,16,49,150,328
105,Keyon Dooling,22,LAC,55,1,969,128,329,.389,50,139,.360,44,57,.772,9,63,72,89,24,6,60,93,350
106,Bryce Drew,28,NOH,13,0,79,8,27,.296,3,7,.429,0,0,,4,9,13,11,2,0,3,2,19
107,Predrag Drobnjak,27,SEA,82,69,1984,325,789,.412,30,85,.353,91,115,.791,111,209,320,86,48,38,65,180,771
108,Chris Dudley,37,POR,3,0,11,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,3,0
109,Tim Duncan,26,SAS,81,81,3181,714,1392,.513,6,22,.273,450,634,.710,259,784,1043,316,55,237,248,231,1884
110,Mike Dunleavy,22,GSW,82,3,1305,168,417,.403,52,150,.347,78,100,.780,66,148,214,106,53,19,86,120,466
111,Howard Eisley,30,NYK,82,76,2243,262,628,.417,131,337,.389,89,105,.848,24,162,186,444,71,9,149,222,744
112,LaPhonso Ellis,32,MIA,55,3,784,100,262,.382,27,107,.252,50,66,.758,44,113,157,15,15,15,31,88,277
113,Melvin Ely,24,LAC,52,7,802,92,186,.495,0,0,,52,74,.703,64,110,174,15,10,32,50,95,236
114,Evan Eschmeyer,27,DAL,17,3,135,7,19,.368,0,0,,3,4,.750,10,19,29,6,10,7,6,35,17
115,Reggie Evans,22,SEA,67,60,1365,66,140,.471,0,0,,80,154,.519,167,278,445,34,38,11,52,173,212
116,Danny Ferry,36,SAS,64,1,601,44,124,.355,21,60,.350,10,13,.769,20,55,75,21,7,9,27,55,119
117,Michael Finley,29,DAL,69,69,2642,507,1193,.425,119,322,.370,198,230,.861,107,295,402,205,76,21,114,105,1331
118,Derek Fisher,28,LAL,82,82,2829,339,775,.437,85,212,.401,100,125,.800,40,199,239,298,93,15,94,195,863
119,Marcus Fizer,24,CHI,38,0,809,178,383,.465,1,6,.167,88,134,.657,80,136,216,48,14,17,57,89,445
120,Alton Ford,21,PHO,11,0,31,3,9,.333,0,0,,1,3,.333,0,6,6,1,0,0,2,7,7
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
121,Joseph Forte,21,SEA,17,0,86,10,35,.286,0,3,.000,4,6,.667,4,7,11,11,4,0,10,6,24
122,Danny Fortson,26,GSW,17,0,223,20,54,.370,0,1,.000,19,29,.655,28,45,73,12,9,0,15,43,59
123,Greg Foster,34,TOR,29,9,539,47,122,.385,1,4,.250,26,32,.813,30,72,102,13,1,9,30,82,121
124,Jeff Foster,26,IND,77,2,802,64,178,.360,0,2,.000,34,63,.540,118,161,279,51,28,21,34,103,162
125,Tremaine Fowlkes,26,LAC,37,10,573,56,128,.438,2,9,.222,50,59,.847,41,62,103,23,25,2,20,63,164
126,Rick Fox,33,LAL,76,75,2181,262,621,.422,105,280,.375,52,69,.754,64,259,323,253,69,14,121,215,681
127,Adonal Foyle,27,GSW,82,0,1787,185,345,.536,0,1,.000,70,104,.673,176,314,490,37,40,205,73,214,440
128,Steve Francis,25,HOU,81,81,3318,571,1312,.435,85,240,.354,476,595,.800,159,340,499,502,141,41,299,251,1703
129,Lawrence Funderburke,32,SAC,27,0,229,32,72,.444,0,0,,10,17,.588,17,38,55,8,1,11,6,25,74
130,Dan Gadzuric,24,MIL,49,30,760,70,145,.483,0,1,.000,29,56,.518,66,131,197,9,22,52,27,125,169
131,Kevin Garnett,26,MIN,82,82,3321,743,1481,.502,20,71,.282,377,502,.751,244,858,1102,495,113,129,229,199,1883
132,Pat Garrity,26,ORL,81,53,2584,312,744,.419,161,407,.396,83,100,.830,72,234,306,121,62,20,77,255,868
133,Pau Gasol,22,MEM,82,82,2948,569,1116,.510,1,10,.100,416,565,.736,192,528,720,229,34,148,213,220,1555
134,Devean George,25,LAL,71,7,1613,180,461,.390,49,132,.371,83,105,.790,91,195,286,92,56,38,65,180,492
135,Kendall Gill,34,MIN,82,34,2068,286,677,.422,19,59,.322,123,161,.764,51,197,248,156,78,15,108,176,714
136,Manu Ginobili,25,SAS,69,5,1431,174,397,.438,51,148,.345,126,171,.737,47,114,161,138,96,17,100,170,525
137,Gordan Giricek,25,TOT,76,62,2148,350,803,.436,85,249,.341,150,183,.820,36,202,238,137,52,8,145,159,935
137,Gordan Giricek,25,MEM,49,35,1187,207,478,.433,46,130,.354,88,107,.822,18,90,108,70,22,6,94,104,548
137,Gordan Giricek,25,ORL,27,27,961,143,325,.440,39,119,.328,62,76,.816,18,112,130,67,30,2,51,55,387
138,Dion Glover,24,ATL,76,42,1890,277,648,.427,56,158,.354,127,162,.784,62,220,282,141,71,15,108,146,737
139,Anthony Goldwire,31,TOT,15,0,85,9,25,.360,3,9,.333,4,7,.571,0,6,6,4,3,0,6,6,25
139,Anthony Goldwire,31,SAS,10,0,51,5,18,.278,2,8,.250,0,2,.000,0,3,3,3,3,0,2,5,12
