Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,25,TOT,61,56,1578,274,646,.424,3,23,.130,146,193,.756,101,190,291,98,59,28,106,147,697
1,Tariq Abdul-Wahad,25,ORL,46,46,1205,223,515,.433,2,21,.095,115,151,.762,77,162,239,72,53,16,87,116,563
1,Tariq Abdul-Wahad,25,DEN,15,10,373,51,131,.389,1,2,.500,31,42,.738,24,28,52,26,6,12,19,31,134
2,Shareef Abdur-Rahim,23,VAN,82,82,3223,594,1277,.465,29,96,.302,446,551,.809,218,607,825,271,89,87,249,244,1663
3,Cory Alexander,26,DEN,29,2,329,28,98,.286,9,35,.257,17,22,.773,8,34,42,58,24,2,28,39,82
4,Ray Allen,24,MIL,82,82,3070,642,1411,.455,172,407,.423,353,398,.887,83,276,359,308,110,19,183,187,1809
5,Rafer Alston,23,MIL,27,0,361,27,95,.284,3,14,.214,3,4,.750,5,18,23,70,12,0,29,29,60
6,John Amaechi,29,ORL,80,53,1684,306,700,.437,1,6,.167,223,291,.766,62,204,266,95,35,37,139,161,836
7,Derek Anderson,25,LAC,64,58,2201,377,860,.438,55,178,.309,271,309,.877,80,178,258,220,90,11,167,149,1080
8,Kenny Anderson,29,BOS,82,82,2593,434,986,.440,85,220,.386,196,253,.775,55,170,225,420,139,8,130,230,1149
9,Nick Anderson,32,SAC,72,72,2094,306,782,.391,132,397,.332,37,76,.487,83,256,339,123,94,16,95,118,781
10,Shandon Anderson,26,HOU,82,82,2700,368,778,.473,79,225,.351,194,253,.767,91,293,384,239,96,32,194,182,1009
11,Chris Anstey,25,CHI,73,11,1007,161,364,.442,1,6,.167,116,147,.789,90,190,280,65,29,25,80,180,439
12,Greg Anthony,32,POR,82,3,1548,169,416,.406,88,233,.378,88,114,.772,17,116,133,208,59,9,85,143,514
13,B.J. Armstrong,32,CHI,27,18,583,83,186,.446,13,29,.448,22,25,.880,2,45,47,78,7,1,40,34,201
14,Darrell Armstrong,31,ORL,82,82,2590,484,1119,.433,137,403,.340,225,247,.911,65,205,270,501,169,9,248,137,1330
15,Chucky Atkins,25,ORL,82,0,1626,314,741,.424,57,163,.350,97,133,.729,20,106,126,306,52,3,142,137,782
16,Stacey Augmon,31,POR,59,0,692,83,175,.474,0,2,.000,37,55,.673,42,74,116,53,27,11,38,69,203
