Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mark Acres,27,ORL,80,50,1691,138,285,.484,3,4,.750,83,120,.692,154,277,431,67,36,25,70,248,362
2,Michael Adams,27,DEN,79,74,2690,398,989,.402,158,432,.366,267,314,.850,49,176,225,495,121,3,141,133,1221
3,Mark Aguirre,30,DET,78,40,2005,438,898,.488,31,93,.333,192,254,.756,117,188,305,145,34,19,121,201,1099
4,Danny Ainge,30,SAC,75,68,2727,506,1154,.438,108,289,.374,222,267,.831,69,257,326,453,113,18,185,238,1342
5,Mark Alarie,26,WSB,82,10,1893,371,785,.473,10,49,.204,108,133,.812,151,223,374,142,60,39,101,219,860
6,Steve Alford,25,DAL,41,0,302,63,138,.457,7,22,.318,35,37,.946,2,23,25,39,15,3,16,22,168
7,Randy Allen,25,SAC,63,6,746,106,239,.444,0,7,.000,23,43,.535,49,89,138,23,16,19,28,102,235
8,Greg Anderson,25,MIL,60,28,1291,219,432,.507,0,0,,91,170,.535,112,261,373,24,32,54,80,176,529
9,Nick Anderson,22,ORL,81,9,1785,372,753,.494,1,17,.059,186,264,.705,107,209,316,124,69,34,138,140,931
10,Richard Anderson,29,CHH,54,2,604,88,211,.417,37,100,.370,18,23,.783,33,94,127,55,20,9,26,64,231
11,Ron Anderson,31,PHI,78,3,2089,379,841,.451,3,21,.143,165,197,.838,81,214,295,143,72,13,78,143,926
12,Willie Anderson,23,SAS,82,81,2788,532,1082,.492,7,26,.269,217,290,.748,115,257,372,364,111,58,198,252,1288
13,Michael Ansley,22,ORL,72,5,1221,231,465,.497,0,0,,164,227,.722,187,175,362,40,24,17,50,152,626
14,B.J. Armstrong,22,CHI,81,0,1291,190,392,.485,3,6,.500,69,78,.885,19,83,102,199,46,6,83,105,452
15,John Bagley,29,BOS,54,17,1095,100,218,.459,1,18,.056,29,39,.744,26,63,89,296,40,4,90,77,230
16,Thurl Bailey,28,UTA,82,33,2583,470,977,.481,0,8,.000,222,285,.779,116,294,410,137,32,100,139,175,1162
17,Ken Bannister,29,LAC,52,1,589,77,161,.478,0,1,.000,52,110,.473,39,73,112,18,17,7,44,92,206
18,Charles Barkley*,26,PHI,79,79,3085,706,1177,.600,20,92,.217,557,744,.749,361,548,909,307,148,50,243,250,1989
19,Dana Barros,22,SEA,81,25,1630,299,738,.405,95,238,.399,89,110,.809,35,97,132,205,53,1,123,97,782
20,John Battle,27,ATL,60,48,1477,275,544,.506,2,13,.154,102,135,.756,27,72,99,154,28,3,89,115,654
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Kenny Battle,25,PHO,59,8,729,93,170,.547,1,4,.250,55,82,.671,44,80,124,38,35,11,32,94,242
22,William Bedford,26,DET,42,0,246,54,125,.432,1,6,.167,9,22,.409,15,43,58,4,3,17,21,39,118
23,Benoit Benjamin,25,LAC,71,58,2313,362,688,.526,0,1,.000,235,321,.732,156,501,657,159,59,187,187,217,959
24,Winston Bennett,24,CLE,55,34,990,137,286,.479,0,0,,64,96,.667,84,104,188,54,23,10,62,133,338
25,Larry Bird*,33,BOS,75,75,2944,718,1517,.473,65,195,.333,319,343,.930,90,622,712,562,106,61,243,173,1820
26,Uwe Blab,27,TOT,47,33,531,39,98,.398,0,0,,20,37,.541,29,79,108,25,1,22,35,102,98
26,Uwe Blab,27,GSW,40,33,481,33,87,.379,0,0,,17,31,.548,28,71,99,24,1,22,30,93,83
26,Uwe Blab,27,SAS,7,0,50,6,11,.545,0,0,,3,6,.500,1,8,9,1,0,0,5,9,15
27,Rolando Blackman,30,DAL,80,80,2934,626,1256,.498,13,43,.302,287,340,.844,88,192,280,289,77,21,174,128,1552
28,Mookie Blaylock,22,NJN,50,17,1267,212,571,.371,18,80,.225,63,81,.778,42,98,140,210,82,14,111,110,505
