Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,31,SAC,6,0,51,3,14,.214,0,0,,4,4,1.000,6,4,10,4,1,0,1,9,10
2,Arron Afflalo,22,DET,75,9,970,99,241,.411,10,48,.208,68,87,.782,36,101,137,52,31,8,34,83,276
3,Maurice Ager,23,TOT,26,3,165,21,65,.323,3,19,.158,6,12,.500,4,9,13,8,0,1,6,17,51
3,Maurice Ager,23,DAL,12,3,77,5,27,.185,0,8,.000,5,6,.833,1,3,4,4,0,1,3,11,15
3,Maurice Ager,23,NJN,14,0,88,16,38,.421,3,11,.273,1,6,.167,3,6,9,4,0,0,3,6,36
4,Blake Ahearn,23,MIA,12,0,177,15,57,.263,10,34,.294,30,31,.968,1,18,19,19,6,0,16,20,70
5,LaMarcus Aldridge,22,POR,76,76,2649,561,1160,.484,1,7,.143,227,298,.762,220,358,578,122,55,94,126,240,1350
6,Malik Allen,29,TOT,73,16,1096,157,327,.480,1,2,.500,23,25,.920,66,130,196,44,19,31,45,149,338
6,Malik Allen,29,NJN,48,12,763,124,261,.475,1,2,.500,12,13,.923,42,86,128,29,15,21,32,89,261
6,Malik Allen,29,DAL,25,4,333,33,66,.500,0,0,,11,12,.917,24,44,68,15,4,10,13,60,77
7,Ray Allen,32,BOS,73,73,2624,439,986,.445,180,452,.398,215,237,.907,75,193,268,225,65,16,127,147,1273
8,Tony Allen,26,BOS,75,11,1373,169,389,.434,18,57,.316,138,181,.762,34,134,168,114,62,21,109,168,494
9,Lance Allred,26,CLE,3,0,10,1,4,.250,0,0,,1,2,.500,0,1,1,0,0,0,0,1,3
10,Morris Almond,22,UTA,9,0,39,4,15,.267,1,4,.250,4,6,.667,0,2,2,3,1,0,2,5,13
11,Rafer Alston,31,HOU,74,74,2526,364,924,.394,143,407,.351,98,137,.715,28,232,260,392,98,18,160,139,969
12,Louis Amundson,25,PHI,16,0,64,8,16,.500,0,0,,2,7,.286,7,5,12,0,1,1,2,13,18
13,Chris Andersen,29,NOH,5,0,34,2,7,.286,0,0,,2,4,.500,2,7,9,0,0,4,1,6,6
14,Derek Anderson,33,CHA,28,0,396,47,125,.376,19,52,.365,28,38,.737,9,43,52,44,12,1,25,49,141
15,Carmelo Anthony,23,DEN,77,77,2806,728,1481,.492,58,164,.354,464,590,.786,178,393,571,259,98,39,253,253,1978
